,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050,pc_051,pc_052,pc_053,pc_054,pc_055,pc_056,pc_057,pc_058,pc_059,pc_060,pc_061,pc_062,pc_063,pc_064,pc_065,pc_066,pc_067,pc_068,pc_069,pc_070,pc_071,pc_072,pc_073,pc_074,pc_075,pc_076,pc_077,pc_078,pc_079,pc_080,pc_081,pc_082,pc_083,pc_084,pc_085,pc_086,pc_087,pc_088,pc_089,pc_090,pc_091,pc_092,pc_093,pc_094,pc_095,pc_096,pc_097,pc_098,pc_099,pc_100
depot,0.0,15.433333333333335,11.816666666666665,36.03333333333333,29.03333333333333,20.066666666666666,10.866666666666667,18.783333333333328,20.58333333333333,46.45,6.633333333333334,39.03333333333333,9.383333333333333,15.35,35.6,7.983333333333332,35.55,39.083333333333336,27.11666666666667,27.85,11.616666666666667,6.033333333333332,19.8,25.98333333333333,6.9,18.75,4.383333333333334,31.73333333333333,27.53333333333333,16.35,40.03333333333333,19.516666666666666,30.83333333333333,28.566666666666666,33.46666666666667,13.766666666666667,49.3,18.45,20.016666666666666,32.833333333333336,44.4,12.383333333333333,13.466666666666667,27.93333333333333,20.55,18.666666666666668,36.93333333333333,6.4,5.333333333333333,15.416666666666664,16.366666666666667,35.38333333333333,28.98333333333333,16.1,12.766666666666667,18.683333333333334,5.333333333333333,8.1,14.883333333333333,32.96666666666667,13.116666666666667,37.48333333333333,33.166666666666664,32.23333333333333,9.266666666666667,10.3,36.16666666666666,39.25,29.13333333333333,22.53333333333333,11.116666666666667,9.65,23.766666666666666,7.466666666666668,21.15,12.216666666666667,9.683333333333334,8.583333333333334,29.23333333333333,29.98333333333333,44.96666666666667,17.45,33.71666666666667,14.766666666666667,36.516666666666666,35.68333333333333,19.216666666666665,26.65,28.78333333333333,10.733333333333333,13.566666666666665,32.45,25.36666666666667,27.93333333333333,12.4,23.6,10.383333333333333,25.516666666666666,19.55,19.633333333333333,28.53333333333333
pc_001,14.65,0.0,3.1666666666666665,32.3,25.68333333333333,15.783333333333333,9.483333333333333,20.933333333333334,8.383333333333333,36.583333333333336,9.316666666666666,29.18333333333333,14.25,6.45,31.88333333333333,11.433333333333335,40.56666666666667,29.23333333333333,27.266666666666666,32.86666666666667,9.35,13.3,7.6,16.133333333333333,11.433333333333335,6.55,12.233333333333333,28.016666666666666,23.816666666666666,5.183333333333334,30.16666666666667,16.166666666666668,27.48333333333333,36.05,40.95,18.816666666666666,50.06666666666667,25.95,7.816666666666666,40.31666666666667,41.05,3.8333333333333335,16.783333333333335,27.65,17.2,6.4833333333333325,33.2,14.666666666666664,14.833333333333336,3.8,23.18333333333333,42.88333333333333,34.0,5.166666666666667,18.55,5.7,11.933333333333335,14.2,4.983333333333333,40.45,6.833333333333332,27.61666666666667,40.66666666666666,28.516666666666666,16.75,14.65,38.93333333333333,29.38333333333333,25.78333333333333,9.716666666666667,9.733333333333333,10.9,16.783333333333335,12.633333333333333,11.466666666666667,16.55,16.3,16.083333333333332,19.366666666666667,35.0,35.1,9.75,23.86666666666667,12.033333333333333,32.8,31.966666666666665,7.016666666666668,27.55,36.266666666666666,7.5166666666666675,10.833333333333336,39.93333333333333,32.86666666666667,18.08333333333333,8.033333333333333,24.86666666666667,13.25,25.66666666666667,16.2,26.45,24.816666666666666
pc_002,11.716666666666667,4.516666666666667,0.0,31.23333333333333,24.23333333333333,17.85,10.466666666666667,23.33333333333333,9.683333333333334,37.88333333333333,6.4,30.466666666666665,11.333333333333336,5.55,30.8,8.5,40.11666666666667,30.516666666666666,25.816666666666666,32.416666666666664,6.416666666666668,10.383333333333333,8.883333333333333,17.416666666666668,8.5,7.85,9.3,26.93333333333333,22.73333333333333,8.566666666666666,31.45,14.716666666666667,26.03333333333333,33.11666666666667,38.03333333333333,15.883333333333333,52.65,23.016666666666666,9.1,37.4,39.6,0.6666666666666666,16.066666666666666,30.25,15.75,7.7666666666666675,32.11666666666667,12.316666666666665,11.9,4.516666666666667,20.933333333333334,39.95,33.55,4.266666666666667,15.616666666666667,7.783333333333332,9.8,12.45,7.05,37.53333333333333,3.9166666666666665,28.91666666666667,37.73333333333333,27.43333333333333,13.816666666666665,12.9,37.48333333333333,30.66666666666667,24.33333333333333,13.083333333333336,10.733333333333333,8.15,18.866666666666667,9.7,13.55,14.8,13.366666666666667,13.15,20.666666666666668,34.55,36.38333333333333,11.816666666666665,25.15,9.116666666666667,31.716666666666665,30.88333333333333,8.3,26.1,33.35,9.583333333333334,7.9,37.016666666666666,29.93333333333333,19.366666666666667,5.116666666666666,23.41666666666667,10.316666666666666,24.216666666666665,14.75,24.2,23.73333333333333
pc_003,35.766666666666666,32.43333333333333,31.816666666666666,0.0,14.016666666666667,41.266666666666666,35.833333333333336,28.15,27.5,20.166666666666668,36.63333333333333,16.783333333333335,29.11666666666667,37.38333333333333,9.683333333333334,32.3,44.91666666666666,20.066666666666666,26.43333333333333,37.23333333333333,36.66666666666666,32.71666666666667,28.08333333333333,31.4,31.3,31.28333333333333,33.06666666666667,7.35,13.816666666666665,32.18333333333333,21.016666666666666,20.866666666666667,16.716666666666665,38.36666666666667,41.55,26.95,58.68333333333333,30.016666666666666,28.05,41.23333333333333,27.48333333333333,32.38333333333333,39.083333333333336,40.65,22.566666666666666,28.966666666666665,10.916666666666664,33.6,35.95,32.11666666666667,25.75,45.2,38.36666666666667,36.1,24.36666666666667,30.8,37.1,39.86666666666667,32.666666666666664,41.766666666666666,33.083333333333336,20.05,42.98333333333333,3.716666666666667,32.43333333333333,38.55,39.016666666666666,18.85,13.0,30.43333333333333,34.63333333333333,38.38333333333333,38.3,31.36666666666667,37.9,38.73333333333333,28.516666666666666,31.8,22.16666666666667,39.36666666666667,20.83333333333333,40.05,22.966666666666665,29.066666666666666,10.583333333333334,9.766666666666667,30.08333333333333,29.566666666666666,38.6,38.46666666666667,27.85,42.083333333333336,35.18333333333333,33.35,32.2,28.35,28.11666666666667,27.7,22.516666666666666,29.016666666666666,7.366666666666666
pc_004,28.75,24.83333333333333,24.8,14.05,0.0,33.68333333333333,28.25,20.566666666666666,19.916666666666668,29.8,29.61666666666667,23.966666666666665,22.1,30.35,13.616666666666667,25.28333333333333,37.333333333333336,24.0,17.283333333333335,30.45,29.63333333333333,25.7,20.5,26.65,24.28333333333333,23.68333333333333,26.03333333333333,9.75,6.1,24.58333333333333,24.95,9.266666666666667,5.683333333333334,30.766666666666666,32.4,19.366666666666667,51.08333333333334,22.41666666666667,20.45,32.083333333333336,24.9,25.36666666666667,31.48333333333333,33.06666666666667,10.966666666666667,21.383333333333333,14.933333333333335,26.566666666666666,28.36666666666667,24.53333333333333,18.166666666666668,37.6,30.766666666666666,29.066666666666666,16.783333333333335,23.216666666666665,30.08333333333333,32.85,25.066666666666666,32.61666666666667,26.066666666666666,23.98333333333333,35.0,10.25,24.86666666666667,31.516666666666666,29.85,24.16666666666667,4.6,22.83333333333333,27.03333333333333,31.36666666666667,31.03333333333333,24.35,30.316666666666666,31.13333333333333,21.5,24.2,22.9,31.766666666666666,29.88333333333333,33.35,23.716666666666665,22.03333333333333,14.533333333333333,13.7,22.48333333333333,20.416666666666668,31.0,30.88333333333333,20.83333333333333,32.916666666666664,27.58333333333333,28.6,25.16666666666667,20.8,21.1,18.533333333333328,10.916666666666664,21.416666666666668,6.55
pc_005,20.75,15.983333333333333,18.983333333333334,40.78333333333333,34.15,0.0,10.55,19.883333333333333,20.116666666666667,45.88333333333333,16.833333333333332,38.48333333333333,24.966666666666665,22.266666666666666,40.35,23.016666666666666,39.5,38.516666666666666,35.73333333333333,31.816666666666666,20.033333333333328,20.95,20.7,23.08333333333333,23.7,20.733333333333334,21.183333333333334,36.48333333333333,32.28333333333333,15.216666666666667,39.46666666666667,24.63333333333333,35.95,36.68333333333333,41.583333333333336,28.266666666666666,49.0,24.58333333333333,20.65,40.95,49.51666666666666,19.65,15.716666666666667,26.6,25.66666666666667,19.516666666666666,41.66666666666666,18.1,20.933333333333334,19.616666666666667,22.13333333333333,43.51666666666666,32.95,20.983333333333334,26.66666666666667,17.85,17.283333333333335,19.55,14.716666666666667,41.083333333333336,21.53333333333333,36.91666666666666,41.3,36.98333333333333,21.98333333333333,15.733333333333333,44.28333333333333,38.68333333333333,34.25,17.75,9.35,16.233333333333334,16.933333333333334,24.25,16.9,15.483333333333333,25.25,21.86666666666667,28.66666666666667,33.93333333333333,44.4,11.333333333333336,30.08333333333333,23.13333333333333,41.266666666666666,40.43333333333333,19.016666666666666,35.86666666666667,36.9,12.433333333333335,19.983333333333334,40.56666666666667,33.5,24.48333333333333,24.066666666666666,32.5,25.95,34.13333333333333,24.66666666666667,25.4,33.28333333333333
pc_006,11.316666666666665,9.683333333333334,10.816666666666665,36.86666666666667,30.23333333333333,10.183333333333334,0.0,14.033333333333333,16.2,41.96666666666667,7.4,34.56666666666667,16.75,14.35,36.43333333333333,13.6,33.666666666666664,34.61666666666667,30.2,25.966666666666665,10.6,12.183333333333335,17.283333333333335,20.033333333333328,14.266666666666667,16.25,11.75,32.56666666666667,28.36666666666667,10.55,35.55,20.733333333333334,32.03333333333333,30.85,35.75,21.133333333333333,43.16666666666666,18.733333333333334,16.733333333333334,35.11666666666667,45.61666666666667,11.366666666666667,9.883333333333333,20.75,21.766666666666666,15.6,37.75,10.583333333333334,11.5,13.316666666666665,16.283333333333335,37.66666666666666,27.1,15.083333333333336,20.133333333333333,13.616666666666667,7.85,10.116666666666667,9.083333333333334,35.25,12.116666666666667,33.0,35.45,33.06666666666667,15.033333333333333,9.366666666666667,38.45,34.766666666666666,30.33333333333333,13.833333333333336,1.2333333333333334,6.816666666666666,13.883333333333333,14.833333333333336,15.35,9.65,17.05,14.35,24.75,28.1,40.48333333333333,9.433333333333334,27.03333333333333,19.0,37.35,36.516666666666666,15.1,30.03333333333333,31.066666666666666,3.0,16.066666666666666,34.73333333333333,27.65,21.433333333333334,14.65,26.65,17.75,28.6,20.766666666666666,19.55,29.36666666666667
pc_007,18.8,21.58333333333333,24.4,27.93333333333333,20.233333333333334,18.216666666666665,14.516666666666667,0.0,23.7,43.68333333333333,20.133333333333333,37.85,15.3,27.73333333333333,27.5,20.483333333333334,19.633333333333333,37.88333333333333,18.933333333333334,11.933333333333335,23.98333333333333,14.95,24.266666666666666,27.516666666666666,17.416666666666668,24.316666666666666,17.433333333333334,23.63333333333333,19.433333333333334,20.8,38.833333333333336,19.116666666666667,22.0,19.58333333333333,24.5,12.15,33.9,7.9,24.23333333333333,23.86666666666667,35.56666666666667,24.966666666666665,13.283333333333333,13.116666666666667,18.45,23.1,28.816666666666666,14.266666666666667,16.616666666666667,25.216666666666665,5.033333333333333,24.95,13.066666666666665,26.58333333333333,9.566666666666666,21.433333333333334,18.85,21.6,20.316666666666666,24.0,25.1,37.86666666666667,24.2,24.13333333333333,13.083333333333336,14.766666666666667,27.18333333333333,38.05,25.83333333333333,21.33333333333333,13.3,20.2,21.383333333333333,16.15,22.5,12.916666666666664,14.866666666666667,12.466666666666667,32.25,14.066666666666665,43.76666666666666,16.916666666666668,34.516666666666666,23.73333333333333,28.41666666666667,27.58333333333333,22.6,18.766666666666666,19.816666666666666,16.383333333333333,22.53333333333333,23.48333333333333,16.4,28.93333333333333,22.9,15.4,16.3,17.333333333333332,17.45,8.3,20.433333333333334
pc_008,20.166666666666668,8.2,10.033333333333333,27.716666666666665,21.08333333333333,18.95,13.516666666666667,22.0,0.0,32.0,14.833333333333336,24.58333333333333,15.966666666666667,14.666666666666664,27.28333333333333,16.95,41.63333333333333,24.63333333333333,22.66666666666667,33.93333333333333,14.866666666666667,17.083333333333332,3.85,11.533333333333333,15.2,7.05,17.75,23.41666666666667,19.216666666666665,9.866666666666667,25.58333333333333,11.583333333333336,22.88333333333333,33.166666666666664,35.6,16.866666666666667,51.13333333333333,26.7,4.016666666666667,34.96666666666667,36.46666666666667,10.583333333333334,17.85,28.716666666666665,12.616666666666667,4.733333333333333,28.61666666666667,19.016666666666666,20.35,7.883333333333334,21.86666666666667,41.31666666666667,35.06666666666667,13.383333333333333,17.4,9.183333333333334,18.25,20.9,10.333333333333334,37.1,12.366666666666667,23.03333333333333,37.56666666666667,23.91666666666667,20.516666666666666,18.266666666666666,34.35,24.8,21.2,7.716666666666668,12.3,16.6,16.316666666666666,16.4,16.333333333333332,17.616666666666667,15.366666666666667,18.9,14.783333333333333,36.06666666666667,30.5,17.966666666666665,19.266666666666666,10.066666666666666,28.2,27.36666666666667,5.85,22.95,33.4,15.733333333333333,6.916666666666668,34.583333333333336,31.3,13.483333333333333,13.55,20.283333333333328,14.95,21.08333333333333,11.616666666666667,25.13333333333333,20.216666666666665
pc_009,45.83333333333334,36.833333333333336,38.66666666666666,20.566666666666666,29.816666666666666,46.33333333333334,40.9,43.95,31.91666666666667,0.0,43.48333333333333,8.733333333333333,41.65,43.3,19.966666666666665,41.88333333333333,60.71666666666667,10.7,43.25,53.03333333333333,43.5,42.766666666666666,32.5,27.61666666666667,40.9,35.68333333333333,42.65,25.36666666666667,29.61666666666667,37.25,12.4,35.28333333333333,32.5,54.16666666666666,58.36666666666667,42.56666666666667,74.46666666666667,45.8,32.45,58.05,48.15,39.23333333333333,45.23333333333333,56.1,36.98333333333333,33.38333333333333,21.033333333333328,44.7,46.2,36.53333333333333,41.55,60.98333333333333,54.15,42.016666666666666,40.16666666666666,35.86666666666667,46.9,49.53333333333333,37.73333333333333,58.58333333333334,41.0,13.466666666666667,58.76666666666666,23.53333333333333,48.21666666666667,45.65,55.81666666666667,12.35,27.4,31.58333333333333,39.7,45.23333333333333,34.516666666666666,42.1,38.91666666666666,45.0,41.05,44.6,18.383333333333333,55.15,2.9,45.11666666666667,19.183333333333334,35.766666666666666,20.383333333333333,20.0,34.48333333333333,46.38333333333333,54.38333333333333,43.53333333333333,32.61666666666667,58.9,50.96666666666667,29.566666666666666,42.2,44.15,40.65,44.51666666666666,36.93333333333333,44.81666666666667,24.43333333333333
