id,postcode,latitude,longitude
depot,CB1 7QQ,52.19280072,0.137717749
pc_001,CB4 1UY,52.215,0.124965
pc_002,CB5 8EP,52.20815800000001,0.134884
pc_003,CB7 5RT,52.343552,0.412586
pc_004,CB8 7DU,52.266834,0.363056
pc_005,CB23 7DY,52.189811,0.018614
pc_006,CB3 9BB,52.198659,0.101006
pc_007,CB10 1RE,52.088432,0.180911
pc_008,CB4 0WS,52.235272,0.153729
pc_009,CB6 1QQ,52.456384,0.301702
pc_010,CB2 1NW,52.197141,0.129483
pc_011,CB6 2WW,52.40858,0.257572
pc_012,CB1 9LD,52.187791,0.16938499999999998
pc_013,CB2 3LP,52.205943,0.119088
pc_014,CB7 5GD,52.345447,0.338968
pc_015,CB1 3LW,52.194721,0.148901
pc_016,CB10 2YE,51.989121,0.289866
pc_017,CB6 3AX,52.400123,0.248835
pc_018,CB8 9NJ,52.172048,0.392866
pc_019,CB11 3HU,52.023443,0.250804
pc_020,CB2 3BZ,52.204697,0.122863
pc_021,CB1 7SZ,52.182556,0.147581
pc_022,CB4 0WZ,52.228213,0.153022
pc_023,CB24 8AP,52.285428,0.134682
pc_024,CB1 3TU,52.193423,0.15595
pc_025,CB4 2QX,52.22792800000001,0.134046
pc_026,CB1 3RW,52.190578,0.147297
pc_027,CB7 5PJ,52.309595,0.3924
pc_028,CB8 7AZ,52.265247,0.392662
pc_029,CB4 3PJ,52.220426,0.107186
pc_030,CB6 3WY,52.399521,0.246467
pc_031,CB25 9EU,52.238744,0.248853
pc_032,CB8 0AL,52.255783,0.393825
pc_033,CB9 9DR,52.080815,0.415144
pc_034,CB9 0JJ,52.083594,0.4517270000000001
pc_035,CB21 5EY,52.185071,0.220821
pc_036,CB22 4RX,52.088126,0.15551099999999998
pc_037,CB22 3DA,52.130617,0.175373
pc_038,CB4 0WA,52.234773,0.143145
pc_039,CB9 0DT,52.088201,0.435119
pc_040,CB8 8WR,52.171677,0.550874
pc_041,CB1 1HZ,52.207792,0.135203
pc_042,CB2 9AR,52.166457,0.122724
pc_043,CB11 4NL,52.033675,0.12909500000000002
pc_044,CB25 9TU,52.225936,0.262219
pc_045,CB4 2QP,52.231042,0.142308
pc_046,CB7 5DN,52.336298,0.333621
pc_047,CB2 8PS,52.178452,0.13963299999999998
pc_048,CB2 8PH,52.185443,0.137935
pc_049,CB4 1RB,52.220298,0.14078
pc_050,CB21 6GS,52.116574,0.220072
pc_051,CB10 2RQ,51.996951,0.387347
pc_052,CB11 3HZ,51.991522,0.21372
pc_053,CB2 1TB,52.206653,0.118097
pc_054,CB21 5BZ,52.177277,0.224513
pc_055,CB4 2HH,52.228125,0.119894
pc_056,CB2 8BN,52.189886,0.13188699999999998
pc_057,CB2 8BS,52.186906,0.13012
pc_058,CB4 3QJ,52.215694,0.109319
pc_059,CB9 7XR,52.069028,0.476129
pc_060,CB1 2PZ,52.205025,0.141524
pc_061,CB6 2HY,52.390561,0.204169
pc_062,CB9 7BG,52.072721,0.452211
pc_063,CB7 5NN,52.318243,0.400042
pc_064,CB2 0AQ,52.17341500000001,0.145869
pc_065,CB2 9HU,52.175563,0.113855
pc_066,CB9 7NE,52.090269,0.486342
pc_067,CB7 4LQ,52.399452,0.264206
pc_068,CB25 0EG,52.280235,0.326735
pc_069,CB24 9NE,52.249373,0.117582
pc_070,CB3 9LN,52.199986,0.095624
pc_071,CB2 3EJ,52.202887,0.121518
pc_072,CB24 3AW,52.261394,0.07255199999999999
pc_073,CB1 3UE,52.189903,0.164528
pc_074,CB3 0QD,52.241104,0.08099500000000001
pc_075,CB2 9NJ,52.168238,0.11266
pc_076,CB1 9NJ,52.181753,0.178878
pc_077,CB1 8RP,52.17518,0.15240499999999998
pc_078,CB6 3FS,52.328526,0.202179
pc_079,CB11 4DY,52.010606,0.238298
pc_080,CB6 1JP,52.460258,0.291114
pc_081,CB3 0HB,52.21117,0.080006
pc_082,CB6 3RN,52.348038,0.174595
pc_083,CB5 8UJ,52.214553,0.173178
pc_084,CB7 5FE,52.339519,0.332254
pc_085,CB7 5DH,52.341116,0.34289400000000003
pc_086,CB4 2PF,52.232498,0.136182
pc_087,CB21 5NY,52.150531,0.36784
pc_088,CB9 9AD,52.081121,0.424779
pc_089,CB3 9DD,52.200999,0.108462
pc_090,CB5 8SZ,52.223015,0.175582
pc_091,CB9 8AB,52.082933,0.438919
pc_092,CB10 2HT,52.057719,0.314963
pc_093,CB24 8XS,52.284245,0.125022
pc_094,CB1 3EW,52.208474,0.148949
pc_095,CB21 5NE,52.14678,0.338904
pc_096,CB1 9HN,52.18796500000001,0.179474
pc_097,CB8 0SJ,52.164958,0.387733
pc_098,CB25 9DU,52.224676,0.259929
pc_099,CB21 6GP,52.118625,0.223841
pc_100,CB7 5LL,52.303295,0.385925
