,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050
depot,0,20.2667,12.5433,6.9683,22.1733,22.13,4.5767,11.095,17.3717,26.995,19.775,32.055,9.7883,10.7783,13.9317,24.0317,24.8483,26.9367,19.735,25.195,11.865,10.2,17.5517,31.4817,12.7117,14.1483,8.8233,24.0067,11.4533,21.75,42.99,51.135,31.5883,8.6933,4.43,19.0133,27.6983,25.815,22.3017,16.5983,7.7783,9.51,18.1183,16.6,24.005,16.2733,24.4133,17.7517,9.7083,21.5483,18.71
pc_001,21.99,0,23.0633,22.3967,14.32,5.44,21.4417,22.005,17.2117,12.1717,32.9317,20.8333,19.23,24.54,11.7633,35.55,37.0417,15.41,11.395,8.4633,24.065,23.37,18.6417,29.9517,27.08,18.0217,18.7167,36.2,21.4367,13.86,28.1667,48.7467,16.765,24.7983,21.7067,20.305,39.8917,10.9917,14.4417,19.9383,23.4867,24.9383,19.595,15.2617,10.92,21.55,9.1283,10.3467,25.4167,16.0483,17.3133
pc_002,12.7433,21.1183,0,13.15,26.3717,22.9817,12.195,2.655,19.385,27.8467,22.3633,32.9067,5.3667,13.3667,14.7833,18.365,27.4983,30.655,20.5867,26.0467,15.9083,14.5533,21.27,32.3333,19.0133,16.1617,8.665,26.6567,13.805,25.755,43.8417,51.9867,32.44,15.3917,12.595,19.865,30.3483,26.6667,26.4333,18.6117,14.08,15.4717,22.6217,17.4517,24.8567,20.7767,25.265,18.6033,16.01,27.85,22.4283
pc_003,6.845,20.415,12.6917,0,15.5533,22.2783,5.9683,11.2433,13.6667,27.1433,21.7867,32.2033,9.9367,13.395,14.08,24.405,25.8967,20.7283,19.8833,22.3867,6.1267,4.4617,11.3433,31.63,9.0383,10.8633,6.8583,25.055,6.9867,15.13,43.1383,51.2833,31.7367,9.515,8.86,19.1617,28.7467,25.9633,15.6817,11.1,9.4417,2.8617,11.4983,15.2367,24.1533,9.6533,19.8317,17.9,10.56,17.93,12.5017
pc_004,22.1183,14.075,25.95,15.5333,0,10.0883,20.965,24.8917,10.92,22.0317,33.2617,30.6983,22.1167,27.8617,19.195,38.8717,40.3633,7.145,19.37,8.755,12.005,12.3167,6.3217,37.9267,14.76,14.2667,18.74,39.5217,13.7567,0.6583,38.0267,57.58,26.625,17.8933,22.8483,27.7867,43.2133,20.8517,0.2317,10.9233,21.0567,13.37,7.275,12.5317,20.785,9.23,6.2,18.3217,16.9867,5.5417,5.36
pc_005,24.3483,4.69,25.4217,23.355,9.8217,0,23.8,24.3633,14.155,13.9917,35.29,22.6583,21.5883,26.8983,14.1217,37.9083,39.4,10.9117,13.7533,4.7367,19.6267,19.7717,14.1433,32.31,22.5817,16.7083,21.075,38.5583,20.7317,9.3617,29.9867,50.5717,18.585,25.715,24.065,22.6633,42.25,12.8117,9.9433,15.44,25.845,21.1917,15.0967,12.6567,12.745,17.0517,4.63,12.705,24.8083,11.55,12.815
pc_006,4.7467,19.7267,12.0033,6.055,20.8883,21.59,0,10.555,16.4583,26.455,21.0983,31.515,9.2483,12.7067,13.3917,23.7167,25.2083,26.0233,19.195,24.655,10.9517,9.2867,16.6383,30.9417,11.0333,13.235,7.91,24.3667,10.54,20.465,42.45,50.595,31.0483,6.535,6.7617,18.4733,28.0583,25.275,21.0167,15.685,6.4383,7.515,16.425,16.06,23.465,14.6383,23.7483,17.2117,7.8233,19.87,17.7967
pc_007,11.18,20.0583,2.66,11.5867,25.3117,21.9217,10.6317,0,18.325,26.7867,21.8183,31.8467,4.3067,12.8217,13.7233,19.62,26.005,29.595,19.5267,24.9867,14.8483,13.4933,20.21,31.2733,17.45,15.1017,7.605,25.1633,12.745,24.695,42.7817,50.9267,31.38,13.8283,11.0317,18.805,28.855,25.6067,25.3733,17.5517,12.5167,14.1283,21.5617,16.3917,23.7967,19.7167,24.205,17.5433,14.4467,26.2867,21.3683
pc_008,17.8133,16.63,19.7683,13.38,10.865,13.9783,16.9367,18.71,0,23.5767,31.0533,28.2883,15.935,22.6617,11.5117,33.6717,35.1633,15.1483,15.9683,14.3,10.1417,9.1967,7.1083,30.8133,16.375,5.5033,12.5583,34.3217,8.3,10.2483,39.5717,50.4667,28.17,19.5083,19.8283,18.345,38.0133,22.3967,10.9267,4.7517,20.0067,12.2267,11.6733,4.8483,20.5867,11.93,9.8633,14.455,18.6017,15.2217,5.6083
pc_009,29.3533,12.2733,30.4267,29.76,21.915,14.1083,28.805,29.3683,24.4383,0,40.295,21.8667,26.5933,31.9033,19.1267,42.9133,44.405,23.005,18.7583,16.6767,31.4283,30.7333,26.2367,33.6683,34.675,25.385,26.08,43.5633,28.8,21.455,26.1767,49.78,14.855,32.1617,29.07,27.6683,47.255,9.0017,22.0367,27.5383,30.85,32.3017,27.19,22.625,11.89,29.145,16.7283,17.71,32.78,23.6433,24.9083
