,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050,pc_051,pc_052,pc_053,pc_054,pc_055,pc_056,pc_057,pc_058,pc_059,pc_060,pc_061,pc_062,pc_063,pc_064,pc_065,pc_066,pc_067,pc_068,pc_069,pc_070,pc_071,pc_072,pc_073,pc_074,pc_075,pc_076,pc_077,pc_078,pc_079,pc_080,pc_081,pc_082,pc_083,pc_084,pc_085,pc_086,pc_087,pc_088,pc_089,pc_090,pc_091,pc_092,pc_093,pc_094,pc_095,pc_096,pc_097,pc_098,pc_099,pc_100,pc_101,pc_102,pc_103,pc_104,pc_105,pc_106,pc_107,pc_108,pc_109,pc_110,pc_111,pc_112,pc_113,pc_114,pc_115,pc_116,pc_117,pc_118,pc_119,pc_120,pc_121,pc_122,pc_123,pc_124,pc_125,pc_126,pc_127,pc_128,pc_129,pc_130,pc_131,pc_132,pc_133,pc_134,pc_135,pc_136,pc_137
depot,0.0,10.092,31.141,17.477,18.363,19.319000000000006,8.089,9.503,9.204,11.023,7.505,12.173,9.825,11.513,27.121,13.415,9.68,13.485,2.1,9.115,5.682,10.687000000000001,10.31,10.671,4.695,14.067,10.315999999999999,9.987,14.439,9.113999999999999,8.725,8.052999999999999,9.021,3.1639999999999997,14.969000000000001,8.732999999999999,7.7120000000000015,10.457,10.752,9.129,12.175999999999998,23.031999999999996,9.524,17.416,9.705,9.751,10.16,4.71,7.147,9.685,6.47,9.818,10.199,9.716000000000001,11.609000000000002,8.908999999999997,8.434,7.981,10.425999999999998,11.135,10.111,4.9860000000000015,9.464,14.009,13.255999999999998,8.866,10.937999999999999,10.357999999999999,2.748,14.333,10.058,10.852,10.343,25.635,13.86,23.717,10.485,13.118,10.127,26.174,8.119,13.237,10.578,7.758999999999999,7.66,6.774,5.162999999999999,9.318999999999999,10.937000000000001,11.617,17.846,30.215,7.499,10.026,18.743,25.943,10.564,6.94,0.165,10.548,7.6320000000000014,19.243,12.427999999999999,17.137,10.61,4.897,12.225999999999999,10.841,7.647,12.753,5.372000000000001,10.334000000000001,12.047,7.396,14.366,26.711,9.214,13.378,13.237,9.591000000000001,9.677,12.06,6.0089999999999995,14.594000000000001,7.028,8.885,5.356,7.9929999999999986,8.104,12.929,7.405,8.975,11.437000000000001,10.182,14.130999999999998,11.527000000000001,10.887,14.107000000000001
pc_001,9.275,0.0,3.603,2.254,3.588,5.8229999999999995,2.7539999999999996,1.2209999999999999,8.958,2.782,7.258999999999999,7.2879999999999985,1.694,1.5619999999999998,2.7769999999999997,3.8339999999999996,2.539,4.55,8.46,2.005,8.377,1.012,1.551,1.65,7.314,3.615,1.876,2.062,3.785,1.6019999999999999,1.821,4.243,2.91,6.662000000000001,3.17,1.854,7.0920000000000005,0.669,4.909,7.869,4.183,6.492000000000001,2.022,2.332,2.5639999999999996,1.619,1.811,8.971,9.094,4.013,3.9789999999999996,1.185,1.3519999999999999,2.574,1.825,2.033,6.547999999999999,2.912,5.591,5.442,4.812,7.282999999999999,1.9609999999999999,3.262,2.967,1.9609999999999999,1.5590000000000002,2.4330000000000003,7.995,3.63,2.133,1.103,2.418,4.373,3.489,13.356,1.062,3.9130000000000003,0.33899999999999997,4.211,2.248,2.668,1.515,2.355,7.414,2.824,7.0120000000000005,1.9669999999999999,2.318,2.381,1.9569999999999999,3.202,1.913,2.101,10.394,3.98,3.142,3.089,9.399,5.712999999999999,11.264000000000001,2.476,4.507,10.31,1.588,8.937999999999997,10.875,1.8119999999999998,7.2170000000000005,2.408,8.988999999999997,1.331,2.33,3.21,4.32,2.9019999999999997,1.801,3.877,7.256,2.085,1.329,3.1010000000000004,8.246,5.4079999999999995,3.177,1.98,8.745,3.758,2.2119999999999997,4.383,7.159,2.655,1.6880000000000002,1.375,4.373,2.4859999999999998,1.4580000000000002,3.1310000000000002
pc_002,13.284,3.594,0.0,5.852,7.186,9.49,5.147,4.8,9.314,4.817,9.373,10.907,4.609,2.647,2.521,2.002,6.5420000000000025,2.717,12.468,4.563,10.074,4.485,5.733,3.275,10.89,2.119,3.444,3.6439999999999997,1.454,4.238,5.824,7.0489999999999995,6.912999999999999,9.959,0.9209999999999999,5.327000000000001,8.986,4.1419999999999995,6.585,8.979,3.3930000000000002,6.955,4.282,5.93,6.037000000000001,4.535,3.38,10.732000000000001,10.692,6.386,7.555,4.763999999999999,4.825,6.577000000000001,1.8159999999999998,5.506,8.605,5.42,7.028,5.84,5.7620000000000005,10.859000000000002,4.043,1.719,3.285,5.434,6.001,3.529,11.571,1.318,3.9539999999999997,4.575,3.514,4.6110000000000015,1.946,14.704,4.535,2.498,3.83,3.9539999999999997,5.489,2.986,5.3260000000000005,6.358,9.401,6.282,10.588,5.443,2.948,4.125,5.555,2.41,5.916,3.767,13.352,3.7230000000000003,5.176,6.5470000000000015,13.407,6.5729999999999995,27.862,6.074,4.249,17.275,3.213,10.454,17.563,2.761,8.921,3.575,24.69400000000001,4.803999999999999,3.655,6.6679999999999975,2.4290000000000003,2.6460000000000004,5.803,2.334,19.112000000000002,4.119,5.063,4.162,9.943,9.027999999999999,6.635,5.452999999999999,10.261,6.437,5.452999999999999,3.0639999999999996,9.593,6.6579999999999995,5.16,4.8469999999999995,2.772,4.52,4.931,1.2990000000000002
pc_003,9.853,2.085,6.023,0.0,1.416,4.331,3.8169999999999997,1.712,9.636000000000001,4.422,7.938,5.052,3.16,3.9819999999999998,4.649,6.254,1.5590000000000002,6.968999999999999,9.038,3.5610000000000004,9.055,1.218,0.674,3.199,7.225,6.034,3.425,3.528,6.204,3.5589999999999997,2.499,4.922,1.844,8.589,6.5,2.114,7.77,1.6369999999999998,6.434,9.016,5.65,5.501,3.97,0.387,1.187,3.0860000000000003,3.36,10.898,9.773,4.692,3.5269999999999997,2.024,0.73,1.439,4.244,2.293,8.321,3.59,6.797999999999999,6.9670000000000005,6.061,7.194,3.909,5.682,4.516,2.02,1.225,4.059,8.14,6.0489999999999995,3.6,1.383,4.044,5.03,5.909,10.588,1.016,5.056,2.12,4.592,2.884,4.217,0.747,3.034,8.092,3.502,6.922999999999999,2.355,3.867,4.333,0.366,5.074,2.501,3.5669999999999997,8.443999999999999,4.3610000000000015,4.667,3.767,9.976,6.92,11.075999999999999,1.485,5.974,8.36,3.137,10.865,6.771,3.361,7.895,3.875,8.801,0.865,3.7960000000000003,3.888,6.739,4.774,2.48,6.296,5.02,4.0360000000000005,2.309,4.567,8.924,3.173,3.855,2.039,10.672,4.436,2.847,5.526,7.8370000000000015,1.879,1.9680000000000002,0.6629999999999999,6.7920000000000025,4.437,1.4180000000000001,5.551
pc_004,19.229,3.615,7.184,1.416,0.0,3.281,5.042,2.87,10.860999999999999,5.647,9.163,4.836,4.3180000000000005,5.143,5.81,7.415,2.944,8.13,9.338,4.785,20.905,2.747,1.8319999999999999,6.0870000000000015,7.526,7.195,4.583,4.686,7.365,4.227,3.7239999999999998,6.146,2.965,8.565,7.662000000000001,3.339,8.995,3.167,7.659,10.241,8.292,4.647,5.195,1.5530000000000002,2.573,4.244,4.518,20.674,10.998,5.9170000000000025,4.565,3.182,1.8880000000000001,2.825,5.405,3.5180000000000002,9.545,4.815,8.023,8.192,7.2860000000000005,7.495,5.1339999999999995,6.843,7.404,3.245,2.577,6.9479999999999995,8.441,7.21,4.758,2.541,6.932,5.414,7.07,9.171,2.3409999999999997,7.4929999999999986,3.65,4.976,4.1080000000000005,7.105,2.009,4.258,9.317,4.727,7.224,3.513,6.755,5.006,1.4869999999999999,6.235,3.7260000000000004,4.725,7.028,4.745,5.892,4.992,19.398,8.144,17.807000000000006,1.294,9.31,6.944,6.026,20.861,7.508999999999999,6.249,9.12,5.033,14.64,2.19,4.954,5.113,7.9,5.513,3.638,7.4570000000000025,5.7,5.261,3.467,7.904,21.232,2.9560000000000004,5.08,3.264,21.32,5.6610000000000005,4.072,7.962999999999999,9.062000000000001,3.1039999999999996,3.1260000000000003,1.821,7.9529999999999985,5.662000000000001,2.576,6.7120000000000015
pc_005,19.88,5.934,9.504,4.331,3.281,0.0,7.8610000000000015,5.69,25.079,8.467,23.38,7.435,7.506,7.4620000000000015,6.473,9.472000000000001,5.8020000000000005,10.187999999999999,17.032,7.605,21.557,5.067,4.651,8.406,14.615,9.253,9.182,9.383,10.494000000000002,7.415,6.544,8.966000000000003,6.0870000000000015,17.745,8.325,6.1579999999999995,23.587,5.4860000000000015,12.387,25.004,10.863,3.4360000000000004,7.834,4.63,5.43,7.432,9.118,21.326,23.023000000000003,8.736,8.305,6.0020000000000024,4.627,5.682,7.724,6.3370000000000015,24.309,7.635,26.301,14.879000000000001,10.105,14.905999999999999,7.774,9.19,9.722999999999999,6.064,4.896,9.267000000000001,15.869000000000002,9.267999999999999,7.9460000000000015,5.3610000000000015,9.252,6.425,9.417,8.327,4.756,9.969,5.968999999999999,5.525,6.928,9.424,4.425,7.077999999999999,23.535,7.5470000000000015,15.083,6.3320000000000025,9.074,8.193999999999999,4.255,6.898,6.545,7.9129999999999985,5.876,5.295,8.711,7.812,20.05,26.423000000000002,18.459,3.458,13.289000000000001,7.941,8.345,21.513,8.161,8.568999999999999,23.522,9.635,15.290999999999999,4.605,9.715,7.933,11.468,6.063,6.4570000000000025,9.805,6.6339999999999995,7.898,6.959,10.222999999999999,21.884,6.194,7.9,6.0829999999999975,21.971999999999998,8.48,6.892,10.535,23.28,5.922999999999999,5.9460000000000015,4.641,11.812000000000001,8.299,5.395,8.769
pc_006,9.107999999999999,2.748,5.148,3.8489999999999998,5.066,7.778,0.0,2.459,6.621,0.9940000000000001,4.923,6.568,1.902,3.424,4.598,5.0360000000000005,2.636,5.107,7.001,1.046,6.04,3.4560000000000004,3.266,2.4330000000000003,6.1270000000000024,5.689,2.0780000000000003,1.7480000000000002,6.061,1.115,1.7109999999999999,1.7590000000000001,2.475,4.812,4.715,1.6880000000000002,4.68,3.113,3.0060000000000002,6.001,3.7969999999999997,8.843,1.286,3.705,2.661,1.828,1.921,6.699,6.757999999999999,1.6769999999999998,2.7910000000000004,2.7739999999999996,3.155,2.6719999999999997,3.37,1.865,4.3260000000000005,0.336,3.37,3.5389999999999997,2.633,6.095,1.225,3.943,2.9610000000000003,1.8219999999999998,3.8939999999999997,2.119,6.752999999999999,5.955,1.819,3.8080000000000003,2.104,6.194,3.7939999999999996,14.095999999999998,3.4410000000000003,4.739,2.782,6.0310000000000015,1.012,2.9410000000000003,3.534,1.251,5.077,1.351,5.824,2.274,2.698,1.692,3.63,4.944,1.489,1.787,11.952,5.8,1.239,1.6159999999999999,7.934,3.492,11.203,4.827,4.302,12.992,2.371,6.421,9.104,2.602,4.887,2.2,7.801,3.29,2.122,1.7369999999999999,5.5329999999999995,4.7219999999999995,2.204,4.999,6.705,1.3519999999999999,2.177,3.036,5.909,5.22,1.704,1.841,6.228,1.274,1.385,4.551,4.822,1.931,4.393,3.137,5.7520000000000024,1.6019999999999999,3.843,3.865
pc_007,9.221,1.156,4.6739999999999995,3.33,4.44,6.675,2.502,0.0,8.833,2.532,7.1339999999999995,6.8660000000000005,1.444,2.605,3.6289999999999996,4.438,2.117,4.785,8.405,1.755,8.252,1.864,1.639,2.0380000000000003,7.258999999999999,3.9539999999999997,2.141,1.8119999999999998,4.856,1.3519999999999999,1.328,3.75,1.973,7.564,4.2410000000000005,1.1840000000000002,8.236,1.521,4.659,7.619,3.9330000000000003,7.3439999999999985,1.7719999999999998,3.1860000000000004,2.142,1.369,1.985,9.873,8.969,3.888,3.924,0.307,1.4409999999999998,2.153,2.8960000000000004,1.3630000000000002,6.297999999999999,2.419,5.341,5.192,4.562,7.228,1.7109999999999999,3.537,3.025,1.3030000000000002,2.412,2.1830000000000003,7.94,4.7010000000000005,1.883,1.3780000000000001,2.168,5.225,3.858,14.208,1.158,4.106,1.1909999999999998,5.063,1.859,3.005,2.367,1.8619999999999999,7.289,2.331,6.9570000000000025,0.986,2.762,2.131,2.8089999999999997,4.053999999999999,1.42,1.851,10.305,4.832,2.892,2.596,9.344,5.462999999999999,11.21,3.3280000000000003,4.257,10.221,1.976,9.84,7.409,2.2,8.361,2.158,8.934,1.308,2.08,2.717,4.999,3.7539999999999996,1.111,4.061,6.834,1.835,0.5920000000000001,2.8510000000000004,8.121,4.987,2.6839999999999997,1.3219999999999998,9.647,3.264,1.8230000000000002,4.331,7.034,1.338,2.54,1.463,5.052,2.2359999999999998,1.734,3.471
pc_008,7.848,6.848,7.2920000000000025,7.965,9.183,23.714000000000002,4.886,6.575,0.0,4.563,1.013,16.567999999999998,6.432,7.187,8.36,5.305,6.752999999999999,5.376,6.4570000000000025,5.575,2.79,7.758999999999999,7.382999999999999,6.195,8.67,5.9579999999999975,5.629,5.829,6.33,5.08,5.827999999999999,3.278,6.5920000000000005,5.3260000000000005,6.859,5.805,1.7009999999999998,7.395,2.6430000000000002,1.05,4.066,27.427,5.023,7.822,6.778,6.358,5.564,3.448,2.8480000000000003,3.225,6.2570000000000014,6.891,7.272,6.789,6.931,5.981,0.46,4.664,2.316,3.321,2.002,8.639,4.794,5.899,5.146,5.939,8.011000000000001,5.7139999999999995,7.7120000000000015,6.224,5.1339999999999995,7.925,5.6979999999999995,9.956,5.75,28.112,7.558,5.008,7.065,9.793,5.127999999999999,5.127000000000002,7.65,5.367999999999999,1.167,5.468,8.368,6.391,5.454,4.607,7.747000000000001,8.707,5.606,4.9510000000000005,23.138,9.562000000000001,3.5010000000000003,5.733,8.017999999999999,2.438,12.078,8.943999999999997,4.319,21.531999999999996,6.132999999999999,3.17,16.621,5.775,1.6369999999999998,4.643,10.550999999999998,7.407,5.079,5.854,6.551,8.485,6.3210000000000015,5.269,17.632,4.637,6.7070000000000025,3.951,2.658,8.686,5.8210000000000015,5.9579999999999975,2.977,3.752,7.365,4.82,0.893,6.047999999999999,8.51,7.254,6.021,4.516,7.959,5.997000000000001
pc_009,10.776,2.778,4.865,4.538,5.997000000000001,8.709,0.9940000000000001,2.6639999999999997,6.297999999999999,0.0,4.6,7.5,1.9469999999999998,3.61,4.783,4.525,3.326,4.595,8.084,1.6840000000000002,5.7170000000000005,4.159,3.9560000000000004,2.6180000000000003,7.058,3.661,2.053,1.541,5.5489999999999995,1.168,2.642,2.231,3.1639999999999997,5.895,4.4319999999999995,2.378,4.357,3.8160000000000003,2.495,5.455,3.286,9.77,1.111,4.395,3.3510000000000004,1.8730000000000002,1.714,6.376,6.435,1.354,3.722,2.628,3.845,3.361,3.3539999999999996,2.5540000000000003,4.133,1.2670000000000001,3.177,3.0269999999999997,2.398,7.026,0.882,3.074,1.81,2.512,4.706,1.716,7.836,3.927,1.2309999999999999,4.498,1.7009999999999998,6.38,2.924,15.027000000000001,4.13,4.227,3.486,6.2170000000000005,1.943,1.791,4.223,2.1830000000000003,4.754,2.282,6.756,2.964,2.295,0.6940000000000001,4.32,5.13,2.42,1.048,12.642000000000001,5.9860000000000015,0.728,2.5469999999999997,10.945,3.299,12.286,5.6229999999999976,3.79,13.923,2.557,6.098,10.036,2.198,4.564,1.202,8.732999999999999,3.98,1.124,2.668,5.022,4.908,2.7089999999999996,3.128,7.636,0.725,2.2230000000000003,2.525,5.586,6.152,2.635,2.53,5.905,1.617,2.089,4.039,4.499,2.62,5.324,3.827,5.2410000000000005,0.604,4.532,3.483
