,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050,pc_051,pc_052,pc_053,pc_054,pc_055,pc_056,pc_057,pc_058,pc_059,pc_060,pc_061,pc_062,pc_063,pc_064,pc_065,pc_066,pc_067,pc_068,pc_069,pc_070,pc_071,pc_072,pc_073,pc_074,pc_075,pc_076,pc_077,pc_078,pc_079,pc_080,pc_081,pc_082,pc_083,pc_084,pc_085,pc_086,pc_087,pc_088,pc_089,pc_090,pc_091,pc_092,pc_093,pc_094,pc_095,pc_096,pc_097,pc_098,pc_099,pc_100,pc_101,pc_102,pc_103,pc_104,pc_105,pc_106,pc_107,pc_108,pc_109,pc_110,pc_111,pc_112,pc_113,pc_114,pc_115,pc_116,pc_117,pc_118,pc_119,pc_120,pc_121,pc_122,pc_123,pc_124,pc_125,pc_126,pc_127,pc_128,pc_129,pc_130,pc_131,pc_132,pc_133,pc_134,pc_135,pc_136,pc_137
depot,0.0,21.166666666666668,29.466666666666665,21.466666666666665,19.366666666666667,19.25,16.116666666666667,19.866666666666667,15.35,19.0,12.883333333333333,13.866666666666667,22.73333333333333,25.45,28.66666666666667,24.13333333333333,19.916666666666668,24.85,4.866666666666666,19.233333333333334,10.266666666666667,23.25,21.566666666666666,24.53333333333333,9.6,26.36666666666667,23.11666666666667,21.61666666666667,27.83333333333333,19.033333333333328,17.25,15.466666666666667,19.883333333333333,7.9,29.766666666666666,17.3,13.866666666666667,22.11666666666667,18.666666666666668,16.35,21.63333333333333,19.883333333333333,19.933333333333334,21.53333333333333,19.433333333333334,22.516666666666666,21.816666666666666,10.75,13.166666666666664,16.166666666666668,13.366666666666667,21.166666666666668,21.05,19.733333333333334,26.316666666666666,18.116666666666667,14.466666666666667,16.033333333333335,17.783333333333335,18.95,16.9,11.033333333333333,19.95,26.6,25.25,17.8,23.9,22.91666666666667,5.7333333333333325,27.41666666666667,21.68333333333333,23.18333333333333,22.8,25.5,25.73333333333333,21.766666666666666,22.33333333333333,23.53333333333333,20.933333333333334,27.2,14.566666666666665,24.766666666666666,22.816666666666666,18.3,13.066666666666665,14.816666666666665,11.033333333333333,19.783333333333328,23.66666666666667,21.88333333333333,22.11666666666667,28.08333333333333,17.216666666666665,21.383333333333333,17.9,26.13333333333333,18.1,15.733333333333333,0.43333333333333335,18.366666666666667,11.2,22.1,21.88333333333333,17.85,24.25,10.133333333333333,10.833333333333336,23.6,13.95,23.1,11.45,21.766666666666666,23.33333333333333,17.5,25.88333333333333,26.85,18.916666666666668,24.18333333333333,13.0,20.283333333333328,20.266666666666666,21.216666666666665,10.4,15.316666666666665,16.183333333333334,17.883333333333333,11.366666666666667,15.15,15.066666666666665,23.28333333333333,12.716666666666667,17.883333333333333,25.86666666666667,21.033333333333328,26.816666666666666,22.13333333333333,24.11666666666667,26.68333333333333
pc_001,21.966666666666665,0.0,11.0,7.45,9.316666666666666,14.15,12.2,5.383333333333334,23.25,12.166666666666664,20.8,18.7,8.1,5.533333333333332,7.433333333333334,13.266666666666667,8.05,15.716666666666667,20.75,10.183333333333334,21.48333333333333,3.3,5.283333333333333,8.933333333333334,18.383333333333333,12.816666666666665,9.65,10.05,12.783333333333333,8.25,6.866666666666666,14.85,9.083333333333334,18.58333333333333,10.35,6.783333333333332,19.416666666666668,2.583333333333333,17.783333333333335,23.66666666666667,15.983333333333333,15.15,9.8,7.783333333333332,7.583333333333332,7.883333333333334,9.316666666666666,23.43333333333333,23.466666666666665,14.15,12.7,5.15,4.383333333333334,7.866666666666666,6.966666666666668,7.616666666666666,20.716666666666665,11.85,19.05,19.066666666666666,17.25,18.816666666666666,9.85,11.016666666666667,12.433333333333335,7.55,4.683333333333334,11.35,19.08333333333333,11.95,10.116666666666667,5.233333333333333,11.233333333333333,11.166666666666664,11.8,24.43333333333333,4.716666666666667,13.65,1.55,10.55,8.583333333333334,11.233333333333333,4.616666666666666,9.266666666666667,20.966666666666665,10.783333333333333,18.3,7.6,10.25,11.316666666666665,6.466666666666668,8.05,7.283333333333332,9.816666666666666,22.11666666666667,9.483333333333333,13.216666666666667,12.033333333333333,22.36666666666667,19.633333333333333,25.86666666666667,6.5,16.733333333333334,23.16666666666667,8.65,21.9,20.266666666666666,9.05,19.966666666666665,10.9,21.816666666666666,4.25,10.916666666666664,12.7,15.133333333333333,7.35,6.533333333333332,12.716666666666667,17.283333333333335,9.95,5.15,12.6,21.316666666666666,14.6,12.483333333333333,7.633333333333334,21.66666666666667,13.7,8.45,15.433333333333335,20.616666666666667,7.716666666666668,7.933333333333334,4.483333333333333,15.233333333333333,11.6,7.066666666666666,10.983333333333333
pc_002,31.18333333333333,10.816666666666665,0.0,16.083333333333332,17.933333333333334,19.4,16.083333333333332,16.033333333333335,19.6,14.583333333333336,20.65,27.516666666666666,15.716666666666667,8.033333333333333,7.116666666666666,6.333333333333332,18.433333333333334,8.783333333333333,29.95,14.766666666666667,22.66666666666667,13.416666666666664,15.866666666666667,9.933333333333334,27.53333333333333,6.383333333333334,10.8,11.35,4.233333333333333,13.3,17.25,20.166666666666668,19.45,26.25,3.283333333333333,16.9,21.66666666666667,12.7,15.7,20.3,10.6,14.133333333333333,12.966666666666667,16.4,17.683333333333334,15.5,10.466666666666667,25.266666666666666,22.4,18.283333333333328,21.85,15.8,14.5,18.233333333333334,4.666666666666667,17.716666666666665,19.233333333333334,16.666666666666668,16.633333333333333,13.75,15.633333333333333,27.966666666666665,12.15,4.733333333333333,9.55,17.666666666666668,14.8,11.033333333333333,28.23333333333333,3.9,12.2,15.35,10.916666666666664,9.866666666666667,5.5166666666666675,24.78333333333333,14.816666666666665,8.0,10.916666666666664,10.2,17.716666666666665,8.35,13.85,19.633333333333333,20.566666666666666,20.966666666666665,27.45,18.3,8.35,12.316666666666665,15.083333333333336,5.533333333333332,17.65,11.266666666666667,23.85,9.15,15.65,22.216666666666665,31.566666666666666,15.716666666666667,33.4,15.116666666666667,10.883333333333333,27.36666666666667,9.65,23.716666666666665,23.16666666666667,8.5,21.73333333333333,11.0,30.93333333333333,14.35,11.066666666666665,22.88333333333333,7.1,7.0,16.9,6.433333333333334,26.816666666666666,12.366666666666667,15.333333333333336,12.133333333333333,22.5,23.4,22.66666666666667,17.75,23.48333333333333,18.666666666666668,17.583333333333332,9.733333333333333,21.233333333333334,18.08333333333333,18.033333333333328,14.6,6.783333333333332,14.033333333333333,17.166666666666668,4.05
pc_003,21.3,7.4833333333333325,16.533333333333335,0.0,3.783333333333333,10.816666666666665,13.1,6.0166666666666675,23.63333333333333,15.183333333333335,21.166666666666668,12.416666666666664,12.5,11.066666666666665,12.0,18.783333333333328,4.666666666666667,21.233333333333334,20.066666666666666,12.616666666666667,21.85,5.25,2.583333333333333,14.116666666666667,14.783333333333333,18.33333333333333,14.833333333333336,14.45,18.3,12.416666666666664,7.25,15.233333333333333,4.816666666666666,19.33333333333333,15.9,5.566666666666666,19.783333333333328,6.35,20.416666666666668,23.61666666666667,20.383333333333333,13.416666666666664,13.316666666666665,1.2,2.9833333333333334,12.283333333333333,14.5,24.16666666666667,23.85,14.516666666666667,8.933333333333334,7.366666666666666,3.05,3.816666666666667,12.483333333333333,6.4,21.73333333333333,12.216666666666667,21.216666666666665,21.7,18.966666666666665,15.216666666666667,13.333333333333336,16.55,17.633333333333333,5.266666666666667,5.266666666666667,16.483333333333334,18.35,17.466666666666665,14.516666666666667,5.1,16.366666666666667,13.066666666666665,17.316666666666666,20.783333333333328,4.316666666666666,19.45,7.316666666666666,12.766666666666667,9.25,16.416666666666668,3.216666666666667,9.633333333333333,21.35,11.15,14.7,8.283333333333333,15.433333333333335,14.883333333333333,1.3333333333333333,12.616666666666667,7.333333333333332,14.216666666666667,17.05,11.7,16.016666666666666,12.4,21.68333333333333,21.8,22.5,4.783333333333333,21.133333333333333,18.1,13.833333333333336,22.65,13.5,14.233333333333333,20.33333333333333,15.3,18.466666666666665,3.7666666666666666,15.316666666666665,13.066666666666665,20.65,11.916666666666664,8.533333333333333,18.233333333333334,10.983333333333333,13.666666666666664,8.583333333333334,17.0,21.68333333333333,8.316666666666666,12.866666666666667,5.35,22.41666666666667,14.083333333333336,9.116666666666667,21.25,20.983333333333334,4.566666666666666,7.8,2.583333333333333,20.766666666666666,15.316666666666665,6.05,16.5
pc_004,21.88333333333333,10.166666666666666,18.3,3.75,0.0,7.5,17.383333333333333,9.066666666666666,27.91666666666667,19.466666666666665,25.45,11.433333333333335,15.55,12.833333333333336,13.766666666666667,20.55,8.633333333333333,23.0,21.133333333333333,16.9,24.86666666666667,7.933333333333334,5.633333333333334,16.366666666666667,15.85,20.116666666666667,17.883333333333333,17.516666666666666,20.08333333333333,15.7,11.533333333333333,19.516666666666666,8.133333333333333,23.25,17.683333333333334,9.85,24.066666666666666,9.033333333333333,24.7,27.9,23.6,11.833333333333336,17.6,4.7,6.933333333333334,15.333333333333336,17.55,25.466666666666665,28.13333333333333,18.8,11.35,10.416666666666666,6.1,7.783333333333332,14.266666666666667,10.683333333333334,26.016666666666666,16.5,25.5,25.98333333333333,23.266666666666666,16.283333333333335,17.616666666666667,18.316666666666666,19.866666666666667,9.55,7.633333333333334,18.733333333333334,19.416666666666668,19.233333333333334,17.566666666666666,8.166666666666666,18.616666666666667,13.083333333333336,19.1,17.0,6.9,20.933333333333334,10.0,12.783333333333333,13.533333333333333,18.666666666666668,5.583333333333332,13.916666666666664,25.63333333333333,15.433333333333335,15.75,11.333333333333336,17.683333333333334,18.783333333333328,4.183333333333334,14.383333333333333,11.616666666666667,17.266666666666666,13.266666666666667,11.716666666666667,20.3,16.683333333333334,22.35,26.08333333333333,21.65,4.566666666666666,25.0,14.316666666666665,16.083333333333332,24.83333333333333,11.4,16.483333333333334,24.61666666666667,18.35,19.166666666666668,6.35,18.383333333333333,17.35,22.41666666666667,12.433333333333335,11.583333333333336,20.016666666666666,9.833333333333334,17.95,11.633333333333333,20.883333333333333,25.0,7.333333333333332,17.15,9.633333333333333,26.066666666666666,18.366666666666667,13.4,22.73333333333333,25.266666666666666,8.85,10.85,5.633333333333334,22.53333333333333,19.6,9.1,18.266666666666666
pc_005,20.316666666666666,14.833333333333336,19.483333333333334,10.9,8.2,0.0,23.9,15.583333333333336,28.38333333333333,25.98333333333333,25.91666666666667,15.483333333333333,21.95,17.5,14.883333333333333,22.6,15.166666666666664,25.05,20.65,23.41666666666667,23.3,12.6,12.15,21.033333333333328,15.733333333333333,22.15,23.16666666666667,23.716666666666665,22.33333333333333,22.1,18.05,26.03333333333333,15.333333333333336,23.11666666666667,18.633333333333333,16.366666666666667,26.9,13.7,31.516666666666666,29.38333333333333,26.86666666666667,7.5166666666666675,23.66666666666667,11.7,13.483333333333333,21.73333333333333,22.83333333333333,23.9,26.2,25.316666666666666,17.65,16.933333333333334,12.066666666666665,14.316666666666665,18.933333333333334,17.2,27.5,23.03333333333333,30.8,31.85,29.78333333333333,17.166666666666668,23.7,21.0,24.53333333333333,16.066666666666666,12.3,23.4,18.85,21.283333333333328,23.966666666666665,14.683333333333335,23.28333333333333,13.866666666666667,21.78333333333333,13.833333333333336,12.433333333333335,24.266666666666666,14.666666666666664,13.416666666666664,20.05,23.33333333333333,11.116666666666667,20.433333333333334,26.1,21.966666666666665,17.183333333333334,17.85,22.35,25.18333333333333,10.383333333333333,15.35,18.133333333333333,23.66666666666667,11.416666666666664,12.35,26.816666666666666,23.2,20.766666666666666,31.4,20.066666666666666,8.016666666666667,28.98333333333333,13.9,20.75,23.266666666666666,9.833333333333334,21.15,26.966666666666665,24.43333333333333,17.6,11.883333333333333,24.65,23.86666666666667,25.2,13.066666666666665,18.1,22.7,12.483333333333333,23.8,18.216666666666665,25.55,23.43333333333333,11.933333333333335,23.66666666666667,16.15,24.5,24.88333333333333,19.916666666666668,26.0,25.73333333333333,15.366666666666667,17.366666666666667,12.15,24.88333333333333,25.466666666666665,15.616666666666667,20.316666666666666
pc_006,16.733333333333334,10.3,15.316666666666665,12.066666666666665,14.916666666666664,22.63333333333333,0.0,9.583333333333334,13.016666666666667,2.8666666666666667,10.566666666666666,18.85,8.45,11.65,14.733333333333333,12.216666666666667,9.633333333333333,12.95,14.883333333333333,4.65,11.25,11.983333333333333,11.3,9.5,15.733333333333333,14.45,8.083333333333334,6.583333333333332,15.916666666666664,4.633333333333334,6.5166666666666675,4.183333333333334,9.616666666666667,10.166666666666666,14.65,7.0166666666666675,10.033333333333333,11.266666666666667,8.1,13.016666666666667,9.716666666666667,24.61666666666667,4.9,11.866666666666667,9.166666666666666,8.25,6.783333333333332,13.85,13.25,3.9166666666666665,10.033333333333333,10.883333333333333,10.766666666666667,9.45,11.283333333333333,7.833333333333332,10.583333333333334,0.9666666666666668,8.9,9.383333333333333,6.666666666666668,16.166666666666668,4.916666666666667,12.866666666666667,10.166666666666666,7.5166666666666675,13.616666666666667,7.883333333333334,13.95,15.5,6.65,12.9,7.7666666666666675,18.45,12.0,31.45,12.05,11.616666666666667,10.066666666666666,17.85,3.6666666666666665,9.683333333333334,12.533333333333333,5.2,10.75,5.116666666666666,15.65,9.5,8.633333333333333,5.95,12.9,14.666666666666664,5.7333333333333325,6.35,27.716666666666665,16.783333333333335,3.716666666666667,6.366666666666666,16.933333333333334,9.5,20.58333333333333,15.983333333333333,10.4,28.13333333333333,9.216666666666667,12.3,21.366666666666667,8.566666666666666,10.316666666666666,7.4833333333333325,19.166666666666668,11.5,7.416666666666668,7.033333333333332,14.366666666666667,14.65,9.066666666666666,12.266666666666667,18.483333333333334,5.25,9.9,7.05,11.083333333333336,15.833333333333336,6.833333333333332,7.6,12.066666666666665,3.033333333333333,6.583333333333332,11.366666666666667,10.383333333333333,7.6,15.583333333333336,10.766666666666667,14.9,6.2,13.85,14.433333333333335
pc_007,20.233333333333334,4.2,14.733333333333333,9.583333333333334,11.883333333333333,16.716666666666665,10.266666666666667,0.0,22.03333333333333,10.466666666666667,19.566666666666666,17.8,6.416666666666668,9.233333333333333,9.833333333333334,15.883333333333333,7.15,16.666666666666668,19.0,8.5,20.25,5.883333333333334,7.65,9.783333333333333,16.633333333333333,16.55,9.85,8.366666666666667,16.516666666666666,6.566666666666666,5.383333333333334,13.366666666666667,6.933333333333334,16.9,14.083333333333336,4.333333333333333,17.9,5.166666666666667,16.1,21.966666666666665,14.283333333333333,17.716666666666665,8.116666666666667,9.4,6.683333333333334,6.2,8.55,21.73333333333333,22.25,12.916666666666664,10.95,1.2666666666666666,6.75,6.966666666666668,10.7,5.15,19.033333333333328,10.366666666666667,17.35,17.383333333333333,15.566666666666665,17.066666666666666,8.166666666666666,14.5,11.95,5.033333333333333,7.2666666666666675,9.666666666666666,17.333333333333332,15.683333333333335,8.433333333333334,7.633333333333334,9.55,13.566666666666665,13.783333333333333,27.016666666666666,5.4,14.466666666666667,3.966666666666667,12.966666666666667,6.816666666666666,11.45,7.2,7.783333333333332,19.75,9.3,16.55,3.7666666666666666,10.4,9.633333333333333,9.033333333333333,10.45,5.783333333333332,8.133333333333333,25.18333333333333,11.9,11.533333333333333,10.533333333333333,20.616666666666667,17.95,24.11666666666667,9.066666666666666,15.033333333333333,26.23333333333333,9.5,20.216666666666665,19.733333333333334,9.9,18.45,9.216666666666667,20.066666666666666,6.033333333333332,9.233333333333333,11.2,17.666666666666668,9.766666666666667,4.016666666666667,14.466666666666667,16.383333333333333,8.266666666666667,2.4833333333333334,10.916666666666664,20.08333333333333,13.7,11.0,5.133333333333334,19.983333333333334,12.216666666666667,6.683333333333334,15.55,19.4,4.95,10.5,6.85,17.783333333333335,9.916666666666666,9.45,14.716666666666667
pc_008,13.566666666666665,19.55,18.133333333333333,19.933333333333334,22.78333333333333,27.2,10.033333333333333,17.45,0.0,9.3,2.75,21.816666666666666,16.933333333333334,19.15,22.23333333333333,11.833333333333336,17.5,12.566666666666665,13.3,13.133333333333333,5.7666666666666675,20.83333333333333,19.166666666666668,17.0,18.8,14.066666666666665,14.033333333333333,14.583333333333336,15.533333333333333,13.316666666666665,14.383333333333333,7.416666666666668,17.483333333333334,12.0,17.466666666666665,14.883333333333333,4.683333333333334,21.433333333333334,6.366666666666666,3.683333333333333,9.333333333333334,27.83333333333333,12.683333333333335,19.75,17.033333333333335,16.733333333333334,13.7,8.366666666666667,5.416666666666668,6.45,15.016666666666667,18.75,18.65,17.316666666666666,18.5,15.7,1.1666666666666667,9.85,5.4833333333333325,6.616666666666666,4.6,19.233333333333334,11.883333333333333,14.3,12.95,15.383333333333333,21.48333333333333,14.266666666666667,15.1,15.116666666666667,12.783333333333333,20.766666666666666,14.15,25.95,13.433333333333335,29.716666666666665,19.916666666666668,11.25,20.4,25.35,11.55,12.466666666666667,20.416666666666668,13.083333333333336,2.9166666666666665,13.0,18.7,17.383333333333333,13.283333333333333,11.416666666666664,20.766666666666666,22.16666666666667,13.6,11.883333333333333,25.85,24.28333333333333,8.05,14.233333333333333,14.033333333333333,6.066666666666666,19.4,23.85,9.583333333333334,25.8,16.716666666666665,6.816666666666666,18.783333333333328,14.083333333333336,4.766666666666667,10.8,21.366666666666667,19.366666666666667,12.8,14.9,13.55,22.15,16.933333333333334,11.883333333333333,20.95,11.583333333333336,18.383333333333333,8.916666666666666,5.6,20.816666666666666,14.7,15.483333333333333,6.583333333333332,7.65,15.133333333333333,10.983333333333333,2.283333333333333,15.466666666666667,23.466666666666665,18.633333333333333,14.516666666666667,11.65,21.716666666666665,14.383333333333333
pc_009,18.283333333333328,12.533333333333333,15.083333333333336,14.166666666666664,17.266666666666666,24.966666666666665,2.716666666666667,12.316666666666665,12.25,0.0,9.8,21.2,9.1,12.25,15.333333333333336,10.766666666666667,11.75,11.483333333333333,17.416666666666668,5.816666666666666,10.483333333333333,13.3,13.4,10.1,18.066666666666666,12.75,7.15,5.7666666666666675,14.45,4.95,8.866666666666667,5.25,11.733333333333333,12.716666666666667,14.416666666666664,9.116666666666667,9.266666666666667,12.566666666666665,6.65,12.533333333333333,8.266666666666667,24.716666666666665,4.333333333333333,13.983333333333333,11.266666666666667,8.883333333333333,5.966666666666668,13.066666666666665,12.466666666666667,3.15,12.383333333333333,12.083333333333336,12.883333333333333,11.55,11.6,9.95,9.6,3.316666666666667,7.916666666666668,7.933333333333334,6.283333333333332,18.516666666666666,3.533333333333333,11.0,7.366666666666666,9.633333333333333,14.683333333333335,6.5,16.483333333333334,13.8,5.033333333333333,15.0,6.4,19.066666666666666,10.133333333333333,33.8,14.15,10.166666666666666,11.383333333333333,18.45,6.0166666666666675,6.883333333333334,14.65,7.55,9.966666666666667,7.466666666666668,17.983333333333334,11.616666666666667,7.25,3.05,15.0,15.266666666666667,8.083333333333334,4.133333333333334,29.83333333333333,17.383333333333333,2.25,8.716666666666667,18.75,8.516666666666667,23.11666666666667,16.483333333333334,8.933333333333334,30.48333333333333,9.816666666666666,11.516666666666667,23.716666666666665,7.183333333333334,9.55,4.583333333333333,21.516666666666666,13.6,4.516666666666667,9.383333333333333,12.916666666666664,15.25,10.133333333333333,10.833333333333336,20.83333333333333,3.2333333333333334,10.55,5.6,10.316666666666666,18.166666666666668,9.166666666666666,9.716666666666667,11.283333333333333,4.066666666666666,7.9,9.916666666666666,9.616666666666667,9.7,17.933333333333334,12.866666666666667,13.45,3.3,15.95,12.05
