id,postcode,latitude,longitude
depot,EH12 9PB,55.92849341,-3.301661855
pc_001,EH8 8AD,55.950173,-3.182539
pc_002,EH6 7PJ,55.969909,-3.153708
pc_003,EH9 2JP,55.935547,-3.181293
pc_004,EH9 3AX,55.924977,-3.173193
pc_005,EH17 7ER,55.912269,-3.140012
pc_006,EH3 7RN,55.951332,-3.214396
pc_007,EH1 2QP,55.945666,-3.19148
pc_008,EH4 5PZ,55.966235,-3.263485
pc_009,EH4 1NS,55.957213,-3.213506
pc_010,EH4 5HJ,55.967083,-3.27367
pc_011,EH13 9EU,55.91239100000001,-3.22276
pc_012,EH2 3AH,55.95146,-3.202676
pc_013,EH7 5AH,55.956636,-3.176617
pc_014,EH8 7AZ,55.95586700000001,-3.148661
pc_015,EH6 4AE,55.975277,-3.180789
pc_016,EH9 1ER,55.93892,-3.197677
pc_017,EH6 4PW,55.977327,-3.1890400000000003
pc_018,EH12 9AD,55.933038,-3.2885440000000004
pc_019,EH2 4JS,55.952322,-3.205971
pc_020,EH4 7QH,55.959459,-3.294756
pc_021,EH8 9SD,55.942703,-3.178132
pc_022,EH9 1NH,55.93933199999999,-3.182961
pc_023,EH1 3NZ,55.959536,-3.18441
pc_024,EH13 0LX,55.911542,-3.266745
pc_025,EH6 6DN,55.974783,-3.171368
pc_026,EH1 3LH,55.958018,-3.187119
pc_027,EH1 3PR,55.955953,-3.193478
pc_028,EH6 6QH,55.976515,-3.167766
pc_029,EH2 1EY,55.953301,-3.201004
pc_030,EH3 8BL,55.944898,-3.206684
pc_031,EH4 3HY,55.95281800000001,-3.237039
pc_032,EH9 1DT,55.937509,-3.20234
pc_033,EH12 7DA,55.936037,-3.269354
pc_034,EH6 8EG,55.967234,-3.162889
pc_035,EH3 9JR,55.94319599999999,-3.203365
pc_036,EH4 7AL,55.960045,-3.273888
pc_037,EH8 9TE,55.946403,-3.180214
pc_038,EH5 2QW,55.972127,-3.227288
pc_039,EH4 5NE,55.97049499999999,-3.26513
pc_040,EH5 3AH,55.97276,-3.20135
pc_041,EH16 4WG,55.923871,-3.119743
pc_042,EH3 6ES,55.955145,-3.204472
pc_043,EH9 2JT,55.93539000000001,-3.183657
pc_044,EH9 1HT,55.9373,-3.194265
pc_045,EH2 3AA,55.951612,-3.2009830000000004
pc_046,EH1 3QY,55.957349,-3.189405
