,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050,pc_051,pc_052,pc_053,pc_054,pc_055,pc_056
depot,0.0,5.642,16.430999999999994,6.301,3.452,22.679,6.021,27.44,14.693,5.4910000000000005,28.005,11.182,17.199,18.752,21.8,4.893,6.99,6.155,6.291,30.083,13.118,5.397,4.9830000000000005,12.168,3.884,2.7710000000000004,12.942,23.442,16.616,11.818,30.811,8.15,5.377999999999999,11.343,5.655,23.404,5.864,15.593,22.255,17.826,14.130999999999998,10.613,4.4430000000000005,5.871,21.218000000000004,7.982,28.868,8.387,14.714,28.853,13.292,22.74,16.715,11.044,19.496,20.541,21.731
pc_001,5.7120000000000015,0.0,17.663,0.26,2.399,19.474,4.4289999999999985,26.023000000000003,15.87,4.613,26.588,5.397,10.84,15.78,16.317999999999998,8.626,10.708,4.097,11.279000000000002,28.666,10.172,6.1,0.957,9.449,2.672,7.648,8.261000000000001,22.026,20.333,6.032,29.395,11.867,5.363,16.087,7.383999999999999,27.121,4.975,17.332,20.822,12.028,9.449,4.827,1.996,6.6560000000000015,10.953,2.138,27.451,2.9160000000000004,15.946,24.172,8.611,17.377,20.433,16.335,23.214,21.773000000000003,10.585
pc_002,16.601,17.169,0.0,17.828,16.37,34.187,22.985,38.947,7.727,14.130999999999998,39.512,32.901,28.706,34.625,33.308,19.954,18.612,18.979,15.014,41.59,24.625,22.453000000000007,16.284000000000002,23.676,15.411,16.132,24.469,34.95,28.237,31.265,42.319,17.180999999999994,22.434,14.514,19.918,35.025,22.827,28.828000000000007,38.127,29.333,25.657,32.675,15.969,20.134,32.726,19.609,40.375,19.913,2.399,40.379,24.818,34.247,18.815,16.558,31.117,9.047,33.239000000000004
pc_003,5.601,0.312,17.552,0.0,2.754,19.283,4.238,25.832,15.759,4.503,26.397,5.206,10.649,15.589,16.127,9.645,11.063,3.906,10.76,28.475,9.981,6.455,1.3119999999999998,9.258,2.5610000000000004,8.877,8.001,21.835,20.688,5.841,29.204,12.222,5.718,15.976,7.739,27.476,4.784,17.141,20.631,11.837,9.189,4.636,1.885,7.01,10.762,1.947,27.26,2.7260000000000004,15.835,23.912,8.351,17.186,20.788,16.224,23.568,21.662,10.394
pc_004,3.482,2.57,16.817999999999998,2.645,0.0,20.366,2.881,25.126,15.025,3.768,25.692,8.406,10.203,15.325,15.121,5.032,8.673,3.253,9.245,27.77,8.974,3.591,1.956,8.251,1.62,5.613,11.22,21.129,18.299,9.041,28.498,9.832,3.572,16.471,4.985,25.086,3.285,14.888,19.624,10.83,12.408,7.836,1.826,4.257,13.425999999999998,5.08,26.555,5.928,15.101,27.13,11.569,16.179000000000002,18.398,14.106,21.179,20.927,13.939
pc_005,23.169,19.455,34.051,19.264,18.0,0.0,15.774,17.498,32.313,27.915,18.064,15.898,9.074,15.977,3.6,16.934,21.208,16.963,23.858,20.142,14.175,17.051,19.292,13.452,19.352,21.235,24.021,8.511000000000001,30.834,14.262,12.912,22.367,16.314,28.963,16.898,30.176,15.373,15.374,3.767,8.057,25.21,15.672,19.369,17.114,14.078,17.87,18.927,18.358,32.334,30.627,25.186,1.783,30.933000000000003,31.007,33.714,38.161,14.591
pc_006,6.497999999999998,4.431,26.632,4.24,3.492,15.809,0.0,22.358,24.893,6.992000000000001,22.923,6.1720000000000015,7.7360000000000015,12.407,12.653,5.766,10.823,1.938,11.395,25.001,6.5070000000000014,3.315,4.268,5.784,4.843,7.7639999999999985,10.172,18.361,20.449,6.807,25.73,11.983,2.5780000000000003,21.543000000000006,5.72,27.237,1.31,13.667,17.157,8.363,11.361,5.602,4.8610000000000015,4.992,10.508,2.846,23.786,3.694,24.915,24.009,10.522,13.712,20.548,23.588,23.329,30.741,11.021
pc_007,28.022,26.448,38.904,26.257,25.672,17.859,22.768,0.0,37.166,32.767,3.338,29.091,24.896,30.815,16.98,21.787,26.061,23.956,28.711,10.132,20.815,24.286,26.285,19.866,30.739,26.087,32.19,6.436,35.686,27.455,4.83,27.22,24.266,33.815,21.751,20.781,22.367,18.718,16.919,25.523000000000003,33.378,28.865,31.72,21.967,28.916,24.864,2.222,25.712,37.187,43.791,32.54,17.919,35.786,35.86,38.567,43.01300000000001,29.429
pc_008,14.451,15.562,7.415,16.221,14.763,32.037,20.835,36.797,0.0,12.524,37.362,30.751,26.556,32.475,31.158,17.804000000000006,16.462,17.372,12.865,39.44,22.475,20.303,14.677,21.526,13.804,13.982,22.862,32.8,26.087,29.115,40.169,15.031,20.284,12.364,17.768,32.875,20.677,26.678,35.977,27.183000000000003,24.05,20.533,14.362,17.984,30.576,18.003,38.225,18.307,5.698,38.773,23.212,32.097,16.665,14.408,28.967,11.524,31.089
pc_009,8.405,7.124,13.05,7.782999999999999,6.325,31.695,8.679,36.456,11.257,0.0,37.021,12.664,26.215,32.133,30.817,17.463,16.12,8.934,12.523,39.099,22.134,9.916,6.239,21.185,5.3660000000000005,13.640999999999998,14.424,32.459,25.746,13.299,39.827,14.69,9.455,11.474,17.427,32.533,9.082,26.336,35.636,26.842,15.612,12.094,5.924,17.643,30.235,9.564,37.884,9.868,11.333,30.334,14.774,31.756,15.774,13.518,28.626,17.159000000000002,30.747
