,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050,pc_051,pc_052,pc_053,pc_054,pc_055,pc_056,pc_057,pc_058,pc_059,pc_060,pc_061,pc_062,pc_063,pc_064,pc_065,pc_066,pc_067,pc_068,pc_069,pc_070,pc_071,pc_072,pc_073,pc_074,pc_075,pc_076,pc_077,pc_078,pc_079,pc_080,pc_081,pc_082,pc_083,pc_084,pc_085,pc_086,pc_087,pc_088,pc_089,pc_090,pc_091,pc_092,pc_093,pc_094,pc_095,pc_096,pc_097,pc_098,pc_099,pc_100,pc_101,pc_102,pc_103
depot,0.0,9.6,9.15,15.416666666666664,25.35,13.066666666666665,15.45,11.9,19.916666666666668,26.7,11.916666666666664,18.916666666666668,11.983333333333333,13.85,3.85,7.883333333333334,15.683333333333335,5.816666666666666,3.6,10.333333333333334,12.933333333333335,5.566666666666666,18.75,6.333333333333332,13.433333333333335,12.4,14.266666666666667,13.066666666666665,17.283333333333335,8.35,5.433333333333334,11.8,13.1,7.283333333333332,13.583333333333336,8.166666666666666,15.366666666666667,16.083333333333332,10.566666666666666,16.2,15.966666666666667,14.5,15.15,21.966666666666665,13.8,14.433333333333335,15.733333333333333,4.316666666666666,15.55,13.233333333333333,14.583333333333336,9.766666666666667,16.183333333333334,3.8,8.55,19.983333333333334,11.883333333333333,15.616666666666667,14.35,6.016666666666668,6.2333333333333325,8.716666666666667,17.166666666666668,17.366666666666667,9.85,12.183333333333335,9.316666666666666,13.466666666666667,7.083333333333332,13.166666666666664,25.58333333333333,13.066666666666665,17.066666666666666,4.95,18.133333333333333,11.666666666666664,11.466666666666667,10.566666666666666,5.283333333333333,14.033333333333333,10.85,11.1,12.116666666666667,15.2,17.816666666666666,11.433333333333335,15.016666666666667,15.95,9.85,10.75,12.116666666666667,15.65,7.316666666666666,8.183333333333334,10.833333333333336,16.866666666666667,7.8,16.216666666666665,14.116666666666667,16.183333333333334,13.65,13.55,7.633333333333334,4.4
pc_001,11.733333333333333,0.0,13.683333333333335,15.366666666666667,19.233333333333334,8.916666666666666,25.716666666666665,12.766666666666667,14.883333333333333,22.016666666666666,5.433333333333334,9.766666666666667,5.5,5.016666666666667,11.416666666666664,12.5,6.033333333333332,10.366666666666667,8.4,10.833333333333336,6.45,11.233333333333333,12.266666666666667,16.616666666666667,4.6,4.283333333333333,6.133333333333334,4.233333333333333,13.65,10.883333333333333,14.233333333333333,14.916666666666664,9.916666666666666,9.1,4.733333333333333,12.7,8.366666666666667,9.616666666666667,20.85,26.466666666666665,26.25,24.78333333333333,4.866666666666666,15.5,5.166666666666667,5.6,13.2,14.6,9.066666666666666,23.5,11.316666666666665,4.733333333333333,24.43333333333333,14.083333333333336,15.4,13.5,3.05,9.766666666666667,5.516666666666668,9.916666666666666,13.8,19.0,25.4,8.966666666666667,20.133333333333333,5.7,19.58333333333333,10.966666666666667,14.983333333333333,21.93333333333333,20.9,6.6,7.433333333333334,14.966666666666667,9.316666666666666,19.916666666666668,10.633333333333333,19.133333333333333,13.7,12.433333333333335,5.366666666666666,4.633333333333334,5.65,8.733333333333333,26.066666666666666,3.3,14.716666666666667,24.2,3.05,4.283333333333333,22.4,11.333333333333336,11.283333333333333,18.45,3.3833333333333333,10.383333333333333,12.333333333333336,8.483333333333333,5.283333333333333,8.7,7.183333333333334,15.416666666666664,17.9,10.883333333333333
pc_002,9.066666666666666,11.483333333333333,0.0,11.916666666666664,24.6,14.633333333333333,16.3,10.35,18.4,27.36666666666667,13.8,20.483333333333334,15.316666666666665,15.733333333333333,10.2,7.7,16.75,4.866666666666666,8.283333333333333,16.216666666666665,14.816666666666665,5.4,20.116666666666667,10.383333333333333,15.316666666666665,14.283333333333333,16.15,14.95,15.766666666666667,14.25,5.933333333333334,8.3,17.85,9.15,15.45,1.85,15.2,17.966666666666665,12.283333333333333,17.05,16.833333333333332,15.316666666666665,15.583333333333336,22.65,15.683333333333335,16.316666666666666,14.233333333333333,7.65,18.033333333333328,14.95,19.33333333333333,11.65,14.733333333333333,12.216666666666667,5.866666666666666,19.866666666666667,13.766666666666667,20.366666666666667,16.216666666666665,6.566666666666666,12.466666666666667,12.766666666666667,15.85,19.25,11.566666666666665,16.15,13.366666666666667,18.216666666666665,5.366666666666666,12.383333333333333,26.25,15.733333333333333,18.133333333333333,11.2,20.016666666666666,10.366666666666667,11.3,9.583333333333334,6.133333333333334,12.533333333333333,12.733333333333333,15.583333333333336,15.883333333333333,19.066666666666666,16.516666666666666,13.316666666666665,12.95,14.65,11.716666666666667,12.633333333333333,13.833333333333336,15.483333333333333,13.216666666666667,12.233333333333333,12.7,18.733333333333334,2.2666666666666666,15.9,16.0,18.066666666666666,16.766666666666666,10.05,11.683333333333335,10.583333333333334
pc_003,14.8,11.916666666666664,12.116666666666667,0.0,13.283333333333333,13.65,24.266666666666666,4.6,9.55,16.066666666666666,11.116666666666667,20.366666666666667,10.8,16.166666666666668,14.483333333333333,7.683333333333334,16.766666666666666,10.966666666666667,13.05,14.783333333333333,11.6,10.066666666666666,11.466666666666667,19.3,15.75,14.733333333333333,15.566666666666665,15.383333333333333,7.083333333333332,14.833333333333336,14.85,3.466666666666667,14.566666666666665,13.516666666666667,15.9,11.833333333333336,7.6,12.783333333333333,19.83333333333333,25.016666666666666,24.8,23.266666666666666,14.816666666666665,12.3,14.5,15.6,5.45,16.566666666666666,9.783333333333333,22.48333333333333,16.05,11.033333333333333,20.766666666666666,17.15,16.016666666666666,11.183333333333335,14.2,17.083333333333332,16.666666666666668,10.566666666666666,16.866666666666667,21.68333333333333,22.5,15.666666666666664,19.116666666666667,11.683333333333335,22.28333333333333,15.7,15.583333333333336,20.35,14.933333333333335,10.283333333333333,18.15,18.033333333333328,16.65,18.33333333333333,7.083333333333332,17.133333333333333,15.05,3.75,12.433333333333335,9.566666666666666,11.4,10.8,23.15,13.883333333333333,1.7666666666666666,21.3,12.166666666666664,11.033333333333333,21.383333333333333,7.216666666666668,15.216666666666667,21.133333333333333,12.616666666666667,13.55,11.766666666666667,11.35,16.433333333333334,14.7,10.016666666666667,2.683333333333333,20.58333333333333,14.65
pc_004,24.1,18.133333333333333,24.25,13.783333333333333,0.0,19.85,37.516666666666666,14.7,6.533333333333332,5.35,15.616666666666667,26.58333333333333,15.45,18.33333333333333,23.78333333333333,19.85,22.98333333333333,23.13333333333333,20.766666666666666,20.983333333333334,13.016666666666667,22.23333333333333,8.383333333333333,28.98333333333333,18.533333333333328,20.933333333333334,17.166666666666668,21.6,9.533333333333333,21.05,27.0,16.65,20.766666666666666,21.48333333333333,22.1,23.966666666666665,12.483333333333333,11.116666666666667,33.083333333333336,38.25,38.03333333333333,36.516666666666666,21.033333333333328,4.483333333333333,16.2,16.016666666666666,15.35,26.966666666666665,11.1,35.73333333333333,22.25,17.416666666666668,34.016666666666666,26.45,27.98333333333333,6.45,20.416666666666668,23.3,22.88333333333333,20.666666666666668,24.88333333333333,29.45,35.75,12.166666666666664,32.35,15.066666666666665,30.05,21.91666666666667,27.5,33.6,4.233333333333333,13.383333333333333,24.36666666666667,26.966666666666665,14.516666666666667,31.566666666666666,17.183333333333334,30.36666666666667,27.216666666666665,13.7,18.933333333333334,15.966666666666667,14.416666666666664,11.033333333333333,36.38333333333333,16.383333333333333,15.566666666666665,34.53333333333333,17.35,17.416666666666668,34.61666666666667,9.816666666666666,21.433333333333334,28.91666666666667,17.466666666666665,11.016666666666667,23.9,14.45,19.216666666666665,14.0,13.116666666666667,15.85,28.36666666666667,23.266666666666666
pc_005,13.383333333333333,7.883333333333334,14.866666666666667,14.25,20.8,0.0,21.766666666666666,12.55,16.016666666666666,23.566666666666666,10.183333333333334,9.8,10.25,12.116666666666667,11.766666666666667,13.683333333333335,7.083333333333332,11.55,9.583333333333334,6.416666666666668,11.2,12.416666666666664,15.733333333333333,12.683333333333335,11.7,11.083333333333336,12.55,8.066666666666666,14.2,6.4833333333333325,13.05,14.416666666666664,3.25,8.116666666666667,9.25,13.883333333333333,10.816666666666665,14.366666666666667,16.9,22.516666666666666,22.3,20.816666666666666,7.45,18.266666666666666,12.083333333333336,12.7,12.083333333333336,10.633333333333333,13.816666666666665,19.55,6.5,8.033333333333333,22.5,10.483333333333333,16.166666666666668,15.966666666666667,10.166666666666666,6.5,10.2,11.116666666666667,8.1,12.666666666666664,23.48333333333333,15.633333333333333,16.166666666666668,10.45,13.266666666666667,6.15,14.033333333333333,19.483333333333334,22.45,11.35,7.85,10.183333333333334,16.4,18.0,10.416666666666666,16.883333333333333,12.583333333333336,11.316666666666665,9.116666666666667,9.366666666666667,10.4,13.466666666666667,24.13333333333333,9.7,13.6,22.266666666666666,8.116666666666667,9.033333333333333,18.433333333333334,11.083333333333336,6.866666666666666,12.133333333333333,9.1,15.133333333333333,13.516666666666667,11.516666666666667,12.4,14.45,11.933333333333335,14.3,11.583333333333336,12.333333333333336
pc_006,15.15,23.516666666666666,16.333333333333332,25.03333333333333,37.21666666666667,22.13333333333333,0.0,24.43333333333333,32.2,40.0,25.83333333333333,27.98333333333333,25.9,27.766666666666666,17.766666666666666,20.616666666666667,26.85,17.766666666666666,17.516666666666666,21.7,26.85,18.3,32.666666666666664,14.7,27.35,26.316666666666666,28.18333333333333,27.83333333333333,29.85,21.266666666666666,14.533333333333333,21.433333333333334,22.16666666666667,21.2,29.0,14.933333333333335,28.1,30.0,8.0,2.2666666666666666,2.033333333333333,2.6166666666666667,27.216666666666665,35.96666666666667,27.716666666666665,28.35,28.316666666666666,12.133333333333333,29.466666666666665,7.133333333333334,23.65,23.68333333333333,6.116666666666666,16.533333333333335,13.516666666666667,33.666666666666664,25.8,24.68333333333333,28.266666666666666,19.483333333333334,16.783333333333335,17.083333333333332,5.133333333333334,31.28333333333333,8.833333333333334,26.1,17.683333333333334,22.53333333333333,12.816666666666665,5.816666666666666,38.86666666666667,26.98333333333333,27.316666666666666,15.516666666666667,32.05,7.916666666666668,24.716666666666665,9.166666666666666,14.05,26.61666666666667,24.766666666666666,25.016666666666666,26.03333333333333,29.11666666666667,4.966666666666667,25.35,26.73333333333333,4.6,23.766666666666666,24.66666666666667,5.9,28.38333333333333,20.233333333333334,16.55,24.75,30.766666666666666,15.583333333333336,28.8,28.03333333333333,30.1,27.566666666666666,23.18333333333333,16.0,18.316666666666666
pc_007,12.433333333333335,10.8,10.333333333333334,4.416666666666667,14.983333333333333,12.516666666666667,23.55,0.0,8.666666666666666,17.366666666666667,10.65,19.25,9.266666666666667,15.05,12.116666666666667,5.933333333333334,15.65,9.233333333333333,9.1,13.65,10.65,8.316666666666666,10.516666666666667,17.55,14.633333333333333,13.6,14.383333333333333,14.266666666666667,6.033333333333332,14.766666666666667,13.1,2.75,13.433333333333335,9.666666666666666,14.766666666666667,10.066666666666666,6.65,11.833333333333336,19.116666666666667,24.3,24.08333333333333,22.55,13.7,12.433333333333335,13.55,14.65,4.5,14.816666666666665,8.833333333333334,21.766666666666666,14.916666666666664,9.9,20.05,14.783333333333333,14.083333333333336,10.133333333333333,13.083333333333336,15.966666666666667,15.55,6.716666666666668,14.516666666666667,19.95,21.78333333333333,14.716666666666667,18.4,10.1,20.533333333333328,14.566666666666665,13.85,19.633333333333333,16.633333333333333,9.333333333333334,17.033333333333335,15.683333333333335,15.7,17.616666666666667,3.6666666666666665,16.416666666666668,13.316666666666665,2.8,12.116666666666667,9.233333333333333,9.833333333333334,9.85,22.43333333333333,12.316666666666665,3.783333333333333,20.58333333333333,11.05,10.7,20.666666666666668,6.183333333333334,13.733333333333333,19.4,11.5,12.6,10.0,10.4,15.316666666666665,13.75,9.066666666666666,4.483333333333333,18.85,11.6
pc_008,19.5,13.516666666666667,17.833333333333332,9.366666666666667,6.65,15.25,31.03333333333333,8.283333333333333,0.0,9.433333333333334,11.0,21.966666666666665,10.833333333333336,15.75,19.183333333333334,13.433333333333335,18.366666666666667,16.716666666666665,16.15,16.383333333333333,8.416666666666666,15.816666666666665,6.683333333333334,25.05,15.966666666666667,16.316666666666666,12.55,16.983333333333334,3.1166666666666667,16.433333333333334,20.58333333333333,10.233333333333333,16.15,16.866666666666667,17.483333333333334,17.55,7.883333333333334,9.5,26.6,31.78333333333333,31.566666666666666,30.03333333333333,16.416666666666668,5.7333333333333325,11.6,12.583333333333336,9.1,22.316666666666666,6.5,29.86666666666667,17.65,12.8,27.53333333333333,21.83333333333333,21.566666666666666,4.65,15.8,18.683333333333334,18.266666666666666,14.25,20.283333333333328,24.85,29.28333333333333,10.933333333333335,26.48333333333333,10.45,25.43333333333333,17.3,21.33333333333333,27.11666666666667,8.3,8.766666666666667,19.75,22.35,13.366666666666667,25.1,10.766666666666667,24.5,20.8,7.016666666666668,14.316666666666665,11.35,9.8,7.5166666666666675,29.91666666666667,11.766666666666667,8.733333333333333,28.066666666666666,12.75,12.816666666666665,28.75,5.216666666666667,16.816666666666666,24.3,12.866666666666667,9.683333333333334,17.483333333333334,9.833333333333334,16.65,11.416666666666664,8.5,9.433333333333334,23.75,18.65
pc_009,27.28333333333333,21.316666666666666,27.43333333333333,16.966666666666665,5.516666666666668,23.03333333333333,40.7,17.883333333333333,9.733333333333333,0.0,18.8,29.766666666666666,18.633333333333333,21.516666666666666,26.966666666666665,23.03333333333333,26.16666666666667,26.316666666666666,23.95,24.16666666666667,16.216666666666665,25.41666666666667,11.566666666666665,32.166666666666664,21.716666666666665,24.11666666666667,20.35,24.78333333333333,12.716666666666667,24.23333333333333,30.18333333333333,19.83333333333333,23.95,24.66666666666667,25.28333333333333,27.15,15.666666666666664,14.3,36.266666666666666,41.43333333333333,41.21666666666667,39.7,24.216666666666665,7.666666666666668,19.4,19.2,18.533333333333328,30.15,14.3,38.91666666666666,25.43333333333333,20.6,37.2,29.63333333333333,31.16666666666667,9.633333333333333,23.6,26.48333333333333,26.066666666666666,23.85,28.08333333333333,32.63333333333333,38.93333333333333,15.35,35.53333333333333,18.25,33.23333333333333,25.1,30.68333333333333,36.78333333333333,3.3,16.566666666666666,27.55,30.15,17.7,34.766666666666666,20.366666666666667,33.55,30.4,16.883333333333333,22.11666666666667,19.15,17.6,14.216666666666667,39.56666666666667,19.566666666666666,18.75,37.71666666666667,20.55,20.6,37.8,13.0,24.61666666666667,32.1,20.65,14.2,27.08333333333333,17.633333333333333,22.4,17.183333333333334,16.3,19.033333333333328,31.55,26.45
