id,postcode,latitude,longitude
depot,N17 6PT,51.59389496,-0.071616611
pc_001,N9 9UL,51.62344,-0.08224
pc_002,N15 3HL,51.586067,-0.098278
pc_003,N22 7UW,51.599466,-0.13643
pc_004,N20 9AA,51.631573,-0.173854
pc_005,N18 2HS,51.615238,-0.053812
pc_006,N16 7BU,51.559335,-0.065981
pc_007,N22 8DE,51.602215,-0.120997
pc_008,N11 3HL,51.616079,-0.153155
pc_009,N20 8PJ,51.62932,-0.198016
pc_010,N13 5HB,51.61897800000001,-0.10321500000000004
pc_011,N9 7BY,51.637117,-0.054378
pc_012,N13 5LF,51.61665,-0.10546400000000004
pc_013,N21 2DN,51.64060300000001,-0.084233
pc_014,N17 8NP,51.601191,-0.06996799999999999
pc_015,N22 6ET,51.597321,-0.10354
pc_016,N9 7AN,51.626588,-0.05875900000000001
pc_017,N17 6AW,51.596967,-0.092784
pc_018,N17 7AL,51.601564,-0.082988
pc_019,N18 2JN,51.612449,-0.060749
pc_020,N21 3DB,51.628764,-0.113398
pc_021,N22 6RU,51.596083,-0.094308
pc_022,N14 5DH,51.630402,-0.139916
pc_023,N17 9HW,51.589792,-0.067589
pc_024,N21 2AX,51.636782,-0.08211
pc_025,N18 1NE,51.618242,-0.084452
pc_026,N21 3PD,51.630713,-0.098752
pc_027,N9 9PG,51.628201,-0.068255
pc_028,N11 1PN,51.615078,-0.14216099999999998
pc_029,N18 2TW,51.611076,-0.065848
pc_030,N17 6DX,51.590237,-0.080813
pc_031,N22 7ST,51.597637,-0.119294
pc_032,N18 2HA,51.616226,-0.053726
pc_033,N17 8JG,51.606873,-0.077696
pc_034,N9 9EP,51.632108,-0.06739500000000001
pc_035,N15 3PU,51.586849,-0.096037
pc_036,N13 4HD,51.615837,-0.115884
pc_037,N14 5PA,51.633156,-0.129313
pc_038,N16 5RE,51.571702,-0.074865
pc_039,N16 7NR,51.55768,-0.073988
pc_040,N16 7NL,51.557838,-0.072825
pc_041,N16 7AA,51.563781,-0.069472
pc_042,N9 9LS,51.623732,-0.069341
pc_043,N20 0TH,51.63003,-0.160839
pc_044,N21 3AG,51.629471,-0.101983
pc_045,N21 2NN,51.637988,-0.09654
pc_046,N11 2DN,51.606924,-0.123633
pc_047,N15 4BN,51.588427,-0.07039
pc_048,N14 7AA,51.625453,-0.125064
pc_049,N16 5GY,51.567575,-0.074318
pc_050,N18 3AT,51.615531,-0.043735
pc_051,N13 5EL,51.616512,-0.094174
pc_052,N16 9ES,51.561043,-0.08402899999999999
pc_053,N17 9RE,51.595834,-0.064243
pc_054,N15 5JA,51.585163,-0.085801
pc_055,N11 1EY,51.629245,-0.14921099999999998
pc_056,N9 9JJ,51.634103,-0.07114
pc_057,N9 8NP,51.631054,-0.044509
pc_058,N9 7PY,51.634022,-0.064597
pc_059,N17 7HX,51.603269,-0.092707
pc_060,N17 9YD,51.597688,-0.056685
pc_061,N17 9FS,51.593527,-0.055765
pc_062,N16 0LH,51.562584,-0.073793
pc_063,N14 4TB,51.644009,-0.116884
pc_064,N16 6TS,51.576043,-0.068173
pc_065,N13 5EX,51.619811,-0.105232
pc_066,N17 9FY,51.588655,-0.058067
pc_067,N18 3BW,51.608789,-0.042924
pc_068,N15 5AA,51.58528,-0.07813099999999999
pc_069,N16 5SA,51.566453,-0.075407
pc_070,N20 8BU,51.627381,-0.185956
pc_071,N13 4RE,51.620001,-0.110309
pc_072,N9 0TY,51.624649,-0.059001
pc_073,N17 9DH,51.594556,-0.063056
pc_074,N21 1SX,51.646776,-0.111147
pc_075,N16 5ED,51.570794,-0.08144
pc_076,N22 8JQ,51.607276,-0.112469
pc_077,N15 6PS,51.575943,-0.079593
pc_078,N17 6TR,51.589992,-0.079202
pc_079,N11 2TP,51.608618,-0.123866
pc_080,N13 5DR,51.617325,-0.093866
pc_081,N13 5HS,51.61616,-0.100747
pc_082,N13 5XL,51.62057,-0.105966
pc_083,N14 6BW,51.630585,-0.12829200000000002
pc_084,N16 0DJ,51.559117,-0.076796
pc_085,N21 3BA,51.626382,-0.097272
pc_086,N11 2BA,51.604455,-0.13063699999999998
pc_087,N16 0AY,51.561991,-0.07765599999999999
pc_088,N13 5DE,51.618936,-0.089522
pc_089,N13 5DS,51.61708400000001,-0.095609
pc_090,N16 6NA,51.568648,-0.065759
pc_091,N11 1AT,51.615811,-0.12925
pc_092,N18 2TB,51.608939,-0.067715
pc_093,N17 9PS,51.585843,-0.058749
pc_094,N13 5AJ,51.62448,-0.094202
pc_095,N14 4BS,51.637453,-0.12926600000000002
pc_096,N15 3LX,51.589425,-0.095698
pc_097,N13 4QU,51.61934,-0.108877
pc_098,N21 2BD,51.638339,-0.08547
pc_099,N21 1JG,51.639202,-0.111577
pc_100,N13 4QA,51.622655,-0.113723
pc_101,N22 7RU,51.600025,-0.125173
pc_102,N17 9GP,51.589926,-0.056486
pc_103,N17 8AJ,51.602222,-0.072101
